Program,Service,Activity,Category,Category Name,Expense/Revenue,Sum - 2016
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Municipal Land Transfer Tax,200A,Materials & Supplies,Expenses,"21,749"
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Municipal Land Transfer Tax,300A,Equipment,Expenses,"4,138"
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Municipal Land Transfer Tax,400A,Service And Rent,Expenses,"492,701"
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Municipal Land Transfer Tax,700A,Inter-Divisional Charges,Expenses,"159,454"
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Payment Processing & Collection,100A,Salaries And Benefits,Expenses,"1,620,522"
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Payment Processing & Collection,200A,Materials & Supplies,Expenses,"11,884"
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Payment Processing & Collection,300A,Equipment,Expenses,"3,729"
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Payment Processing & Collection,400A,Service And Rent,Expenses,"171,035"
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Payment Processing & Collection,650A,Other Expenditures,Expenses,"279,529"
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Payment Processing & Collection,700A,Inter-Divisional Charges,Expenses,"58,039"
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Refund Processing,100A,Salaries And Benefits,Expenses,"872,943"
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Refund Processing,200A,Materials & Supplies,Expenses,"2,420"
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Refund Processing,300A,Equipment,Expenses,"1,066"
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Refund Processing,400A,Service And Rent,Expenses,"7,765"
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Refund Processing,700A,Inter-Divisional Charges,Expenses,"16,382"
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Revenue Accounting,100A,Salaries And Benefits,Expenses,"1,701,299"
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Revenue Accounting,200A,Materials & Supplies,Expenses,"5,522"
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Revenue Accounting,300A,Equipment,Expenses,"2,131"
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Revenue Accounting,400A,Service And Rent,Expenses,"14,809"
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Revenue Accounting,700A,Inter-Divisional Charges,Expenses,"32,249"
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Contact Centre,100A,Salaries And Benefits,Expenses,"5,189,837"
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Contact Centre,200A,Materials & Supplies,Expenses,"16,256"
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Contact Centre,300A,Equipment,Expenses,"6,393"
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Contact Centre,400A,Service And Rent,Expenses,"65,413"
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Contact Centre,700A,Inter-Divisional Charges,Expenses,"99,518"
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Counter Operations,100A,Salaries And Benefits,Expenses,"3,513,871"
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Counter Operations,200A,Materials & Supplies,Expenses,"14,149"
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Counter Operations,300A,Equipment,Expenses,"4,794"
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Counter Operations,400A,Service And Rent,Expenses,"33,710"
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Counter Operations,700A,Inter-Divisional Charges,Expenses,"128,113"
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Tax / Utility Account Administration,100A,Salaries And Benefits,Expenses,"1,923,478"
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Tax / Utility Account Administration,200A,Materials & Supplies,Expenses,"5,570"
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Tax / Utility Account Administration,300A,Equipment,Expenses,"2,131"
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Tax / Utility Account Administration,400A,Service And Rent,Expenses,"23,842"
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Tax / Utility Account Administration,700A,Inter-Divisional Charges,Expenses,"32,691"
Office of the Treasurer,RS-Utility Billing,RS-Meter Reading Operations,100A,Salaries And Benefits,Expenses,"941,506"
Office of the Treasurer,RS-Utility Billing,RS-Meter Reading Operations,200A,Materials & Supplies,Expenses,"7,156"
Office of the Treasurer,RS-Utility Billing,RS-Meter Reading Operations,300A,Equipment,Expenses,"5,455"
Office of the Treasurer,RS-Utility Billing,RS-Meter Reading Operations,400A,Service And Rent,Expenses,"295,468"
Office of the Treasurer,RS-Utility Billing,RS-Meter Reading Operations,700A,Inter-Divisional Charges,Expenses,"151,712"
Office of the Treasurer,RS-Utility Billing,RS-Solid Waste Billings,100A,Salaries And Benefits,Expenses,"393,145"
Office of the Treasurer,RS-Utility Billing,RS-Solid Waste Billings,200A,Materials & Supplies,Expenses,992
Office of the Treasurer,RS-Utility Billing,RS-Solid Waste Billings,300A,Equipment,Expenses,"1,065"
Office of the Treasurer,RS-Utility Billing,RS-Solid Waste Billings,400A,Service And Rent,Expenses,"6,875"
Office of the Treasurer,RS-Utility Billing,RS-Solid Waste Billings,700A,Inter-Divisional Charges,Expenses,"131,092"
Office of the Treasurer,RS-Utility Billing,RS-Water Billings,100A,Salaries And Benefits,Expenses,"1,305,416"
Office of the Treasurer,RS-Utility Billing,RS-Water Billings,200A,Materials & Supplies,Expenses,"8,355"
Office of the Treasurer,RS-Utility Billing,RS-Water Billings,300A,Equipment,Expenses,"14,388"
Office of the Treasurer,RS-Utility Billing,RS-Water Billings,400A,Service And Rent,Expenses,"1,260,260"
Office of the Treasurer,RS-Utility Billing,RS-Water Billings,700A,Inter-Divisional Charges,Expenses,"56,039"
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,100A,Salaries And Benefits,Expenses,"13,066,821"
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,200A,Materials & Supplies,Expenses,"1,706,037"
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,300A,Equipment,Expenses,"268,130"
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,400A,Service And Rent,Expenses,"2,364,048"
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,510A,Contribution To Reserves/Reserve Funds,Expenses,"253,130"
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,650A,Other Expenditures,Expenses,"8,888,120"
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,700A,Inter-Divisional Charges,Expenses,"436,030"
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,100A,Salaries And Benefits,Expenses,"60,169,411"
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,200A,Materials & Supplies,Expenses,"6,224,556"
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,300A,Equipment,Expenses,"475,679"
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,400A,Service And Rent,Expenses,"11,381,487"
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,510A,Contribution To Reserves/Reserve Funds,Expenses,"741,925"
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,650A,Other Expenditures,Expenses,"191,221"
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,700A,Inter-Divisional Charges,Expenses,"1,315,661"
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,100A,Salaries And Benefits,Expenses,"36,496,213"
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,200A,Materials & Supplies,Expenses,"5,907,131"
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,300A,Equipment,Expenses,"312,458"
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,400A,Service And Rent,Expenses,"4,485,455"
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,510A,Contribution To Reserves/Reserve Funds,Expenses,"499,776"
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,650A,Other Expenditures,Expenses,"127,586"
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,700A,Inter-Divisional Charges,Expenses,"1,143,188"
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,100A,Salaries And Benefits,Expenses,"33,530,777"
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,200A,Materials & Supplies,Expenses,"8,047,440"
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,300A,Equipment,Expenses,"278,842"
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,400A,Service And Rent,Expenses,"7,781,894"
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,510A,Contribution To Reserves/Reserve Funds,Expenses,"1,046,640"
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,650A,Other Expenditures,Expenses,"485,140"
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,700A,Inter-Divisional Charges,Expenses,"6,049,308"
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,100A,Salaries And Benefits,Expenses,"12,741,590"
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,200A,Materials & Supplies,Expenses,"96,769"
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,300A,Equipment,Expenses,"54,118"
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,400A,Service And Rent,Expenses,"437,862"
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,510A,Contribution To Reserves/Reserve Funds,Expenses,"43,835"
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,650A,Other Expenditures,Expenses,"(53,997)"
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,700A,Inter-Divisional Charges,Expenses,"223,600"
"Parks, Forestry & Recreation",PR-Parks,Beach Access,100A,Salaries And Benefits,Expenses,"2,308,578"
"Parks, Forestry & Recreation",PR-Parks,Beach Access,200A,Materials & Supplies,Expenses,"143,894"
"Parks, Forestry & Recreation",PR-Parks,Beach Access,300A,Equipment,Expenses,"26,536"
"Parks, Forestry & Recreation",PR-Parks,Beach Access,400A,Service And Rent,Expenses,"99,811"
"Parks, Forestry & Recreation",PR-Parks,Beach Access,510A,Contribution To Reserves/Reserve Funds,Expenses,"342,445"
"Parks, Forestry & Recreation",PR-Parks,Beach Access,650A,Other Expenditures,Expenses,2
"Parks, Forestry & Recreation",PR-Parks,Beach Access,700A,Inter-Divisional Charges,Expenses,"91,227"
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,100A,Salaries And Benefits,Expenses,"11,821,382"
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,200A,Materials & Supplies,Expenses,"371,893"
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,300A,Equipment,Expenses,"46,920"
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,400A,Service And Rent,Expenses,"799,044"
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,510A,Contribution To Reserves/Reserve Funds,Expenses,"547,932"
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,650A,Other Expenditures,Expenses,"81,048"
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,700A,Inter-Divisional Charges,Expenses,"189,093"
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",100A,Salaries And Benefits,Expenses,"3,134,565"
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",200A,Materials & Supplies,Expenses,"1,048,651"
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",300A,Equipment,Expenses,"56,859"
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",400A,Service And Rent,Expenses,"343,825"
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",510A,Contribution To Reserves/Reserve Funds,Expenses,"351,296"
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",650A,Other Expenditures,Expenses,"240,014"
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",700A,Inter-Divisional Charges,Expenses,"82,200"
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,100A,Salaries And Benefits,Expenses,"78,670,681"
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,200A,Materials & Supplies,Expenses,"11,826,456"
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,300A,Equipment,Expenses,"931,324"
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,400A,Service And Rent,Expenses,"7,326,466"
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,510A,Contribution To Reserves/Reserve Funds,Expenses,"5,514,438"
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,650A,Other Expenditures,Expenses,"2,271"
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,700A,Inter-Divisional Charges,Expenses,"9,446,559"
"Parks, Forestry & Recreation",PR-Parks,Ravines & Watercourses,100A,Salaries And Benefits,Expenses,"866,813"
"Parks, Forestry & Recreation",PR-Parks,Ravines & Watercourses,200A,Materials & Supplies,Expenses,"26,309"
"Parks, Forestry & Recreation",PR-Parks,Ravines & Watercourses,300A,Equipment,Expenses,"7,912"
"Parks, Forestry & Recreation",PR-Parks,Ravines & Watercourses,400A,Service And Rent,Expenses,"26,692"
"Parks, Forestry & Recreation",PR-Parks,Ravines & Watercourses,700A,Inter-Divisional Charges,Expenses,"69,695"
"Parks, Forestry & Recreation",PR-Parks,Toronto Island Ferry Operations,100A,Salaries And Benefits,Expenses,"5,710,527"
"Parks, Forestry & Recreation",PR-Parks,Toronto Island Ferry Operations,200A,Materials & Supplies,Expenses,"613,268"
"Parks, Forestry & Recreation",PR-Parks,Toronto Island Ferry Operations,300A,Equipment,Expenses,"11,555"
"Parks, Forestry & Recreation",PR-Parks,Toronto Island Ferry Operations,400A,Service And Rent,Expenses,"382,971"
"Parks, Forestry & Recreation",PR-Parks,Toronto Island Ferry Operations,510A,Contribution To Reserves/Reserve Funds,Expenses,"1,055,077"
"Parks, Forestry & Recreation",PR-Parks,Toronto Island Ferry Operations,650A,Other Expenditures,Expenses,"49,700"
"Parks, Forestry & Recreation",PR-Parks,Toronto Island Ferry Operations,700A,Inter-Divisional Charges,Expenses,"441,756"
"Parks, Forestry & Recreation",PR-Parks,Zoo & Farm Attractions,100A,Salaries And Benefits,Expenses,"1,116,621"
"Parks, Forestry & Recreation",PR-Parks,Zoo & Farm Attractions,200A,Materials & Supplies,Expenses,"218,347"
"Parks, Forestry & Recreation",PR-Parks,Zoo & Farm Attractions,300A,Equipment,Expenses,"2,271"
"Parks, Forestry & Recreation",PR-Parks,Zoo & Farm Attractions,400A,Service And Rent,Expenses,"51,058"
"Parks, Forestry & Recreation",PR-Parks,Zoo & Farm Attractions,510A,Contribution To Reserves/Reserve Funds,Expenses,308
"Parks, Forestry & Recreation",PR-Parks,Zoo & Farm Attractions,650A,Other Expenditures,Expenses,14
"Parks, Forestry & Recreation",PR-Parks,Zoo & Farm Attractions,700A,Inter-Divisional Charges,Expenses,"86,120"
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,100A,Salaries And Benefits,Expenses,"19,865,365"
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,200A,Materials & Supplies,Expenses,"1,281,871"
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,300A,Equipment,Expenses,"288,522"
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,400A,Service And Rent,Expenses,"24,378,305"
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,510A,Contribution To Reserves/Reserve Funds,Expenses,"464,720"
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,650A,Other Expenditures,Expenses,188
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,700A,Inter-Divisional Charges,Expenses,"2,046,138"
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,100A,Salaries And Benefits,Expenses,"4,219,053"
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,200A,Materials & Supplies,Expenses,"941,425"
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,300A,Equipment,Expenses,"12,383"
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,400A,Service And Rent,Expenses,"8,886,924"
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,510A,Contribution To Reserves/Reserve Funds,Expenses,"92,944"
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,650A,Other Expenditures,Expenses,112
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,700A,Inter-Divisional Charges,Expenses,"146,366"
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Protection,100A,Salaries And Benefits,Expenses,"5,061,178"
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Protection,200A,Materials & Supplies,Expenses,"52,947"
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Protection,300A,Equipment,Expenses,"13,423"
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Protection,400A,Service And Rent,Expenses,"34,231"
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Protection,510A,Contribution To Reserves/Reserve Funds,Expenses,"61,963"
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Protection,650A,Other Expenditures,Expenses,"3,400"
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Protection,700A,Inter-Divisional Charges,Expenses,"94,830"
"Parks, Forestry & Recreation",PR-Urban Forestry,Urban Forestry Planning & Development,100A,Salaries And Benefits,Expenses,"3,510,747"
"Parks, Forestry & Recreation",PR-Urban Forestry,Urban Forestry Planning & Development,200A,Materials & Supplies,Expenses,"19,297"
"Parks, Forestry & Recreation",PR-Urban Forestry,Urban Forestry Planning & Development,300A,Equipment,Expenses,"15,206"
"Parks, Forestry & Recreation",PR-Urban Forestry,Urban Forestry Planning & Development,400A,Service And Rent,Expenses,"101,942"
"Parks, Forestry & Recreation",PR-Urban Forestry,Urban Forestry Planning & Development,510A,Contribution To Reserves/Reserve Funds,Expenses,"138,809"
"Parks, Forestry & Recreation",PR-Urban Forestry,Urban Forestry Planning & Development,650A,Other Expenditures,Expenses,"23,699"
"Parks, Forestry & Recreation",PR-Urban Forestry,Urban Forestry Planning & Development,700A,Inter-Divisional Charges,Expenses,"81,191"
"Policy, Planning, Finance & Administration",Corporate Leadership,Corporate Leadership,100A,Salaries And Benefits,Expenses,"766,614"
"Policy, Planning, Finance & Administration",Corporate Leadership,Corporate Leadership,200A,Materials & Supplies,Expenses,"2,213"
"Policy, Planning, Finance & Administration",Corporate Leadership,Corporate Leadership,300A,Equipment,Expenses,"2,000"
"Policy, Planning, Finance & Administration",Corporate Leadership,Corporate Leadership,400A,Service And Rent,Expenses,"20,600"
"Policy, Planning, Finance & Administration",Organizational Effectiveness,Organizational Effectiveness,100A,Salaries And Benefits,Expenses,"1,941,231"
"Policy, Planning, Finance & Administration",Organizational Effectiveness,Organizational Effectiveness,200A,Materials & Supplies,Expenses,"1,039"
"Policy, Planning, Finance & Administration",Organizational Effectiveness,Organizational Effectiveness,300A,Equipment,Expenses,750
"Policy, Planning, Finance & Administration",Organizational Effectiveness,Organizational Effectiveness,400A,Service And Rent,Expenses,"5,592"
"Policy, Planning, Finance & Administration",Organizational Effectiveness,Organizational Effectiveness,700A,Inter-Divisional Charges,Expenses,"234,577"
"Policy, Planning, Finance & Administration",PA-Emergency Management,Emergency Management Program Development & Response,100A,Salaries And Benefits,Expenses,"2,353,134"
"Policy, Planning, Finance & Administration",PA-Emergency Management,Emergency Management Program Development & Response,200A,Materials & Supplies,Expenses,"37,874"
"Policy, Planning, Finance & Administration",PA-Emergency Management,Emergency Management Program Development & Response,300A,Equipment,Expenses,"160,000"
"Policy, Planning, Finance & Administration",PA-Emergency Management,Emergency Management Program Development & Response,400A,Service And Rent,Expenses,"203,970"
"Policy, Planning, Finance & Administration",PA-Emergency Management,Emergency Management Program Development & Response,510A,Contribution To Reserves/Reserve Funds,Expenses,"22,455"
"Policy, Planning, Finance & Administration",PA-Emergency Management,Emergency Management Program Development & Response,700A,Inter-Divisional Charges,Expenses,"279,309"
"Policy, Planning, Finance & Administration",PA-Financial Management,Budget Planning & coordination,100A,Salaries And Benefits,Expenses,"2,018,255"
"Policy, Planning, Finance & Administration",PA-Financial Management,Budget Planning & coordination,200A,Materials & Supplies,Expenses,439
"Policy, Planning, Finance & Administration",PA-Financial Management,Budget Planning & coordination,300A,Equipment,Expenses,"2,900"
"Policy, Planning, Finance & Administration",PA-Financial Management,Budget Planning & coordination,400A,Service And Rent,Expenses,"16,658"
"Policy, Planning, Finance & Administration",PA-Financial Management,Financial Transaction & Payment Processing,100A,Salaries And Benefits,Expenses,"5,725,898"
"Policy, Planning, Finance & Administration",PA-Financial Management,Financial Transaction & Payment Processing,200A,Materials & Supplies,Expenses,"2,357"
"Policy, Planning, Finance & Administration",PA-Financial Management,Financial Transaction & Payment Processing,300A,Equipment,Expenses,"19,000"
"Policy, Planning, Finance & Administration",PA-Financial Management,Financial Transaction & Payment Processing,400A,Service And Rent,Expenses,"52,877"
"Policy, Planning, Finance & Administration",PA-Program Support,Complement Management & Reporting,100A,Salaries And Benefits,Expenses,"554,827"
"Policy, Planning, Finance & Administration",PA-Program Support,Complement Management & Reporting,200A,Materials & Supplies,Expenses,351
"Policy, Planning, Finance & Administration",PA-Program Support,Complement Management & Reporting,300A,Equipment,Expenses,"1,225"
"Policy, Planning, Finance & Administration",PA-Program Support,Complement Management & Reporting,400A,Service And Rent,Expenses,"2,263"
"Policy, Planning, Finance & Administration",PA-Program Support,General Administration,100A,Salaries And Benefits,Expenses,"1,544,565"
"Policy, Planning, Finance & Administration",PA-Program Support,General Administration,200A,Materials & Supplies,Expenses,"821,378"
"Policy, Planning, Finance & Administration",PA-Program Support,General Administration,300A,Equipment,Expenses,"15,118"
"Policy, Planning, Finance & Administration",PA-Program Support,General Administration,400A,Service And Rent,Expenses,"196,733"
"Policy, Planning, Finance & Administration",PA-Program Support,General Administration,510A,Contribution To Reserves/Reserve Funds,Expenses,"103,266"
"Policy, Planning, Finance & Administration",PA-Program Support,General Administration,700A,Inter-Divisional Charges,Expenses,"341,639"
"Policy, Planning, Finance & Administration",PA-Program Support,Public Consultation,100A,Salaries And Benefits,Expenses,"1,204,064"
"Policy, Planning, Finance & Administration",PA-Program Support,Public Consultation,200A,Materials & Supplies,Expenses,816
"Policy, Planning, Finance & Administration",PA-Program Support,Public Consultation,300A,Equipment,Expenses,625
"Policy, Planning, Finance & Administration",PA-Program Support,Public Consultation,400A,Service And Rent,Expenses,"5,045"
"Policy, Planning, Finance & Administration",PA-Program Support,Time & Attendance Data Entry & Reporting,100A,Salaries And Benefits,Expenses,"2,831,730"
"Policy, Planning, Finance & Administration",PA-Program Support,Time & Attendance Data Entry & Reporting,200A,Materials & Supplies,Expenses,"102,919"
"Policy, Planning, Finance & Administration",PA-Program Support,Time & Attendance Data Entry & Reporting,300A,Equipment,Expenses,"12,275"
"Policy, Planning, Finance & Administration",PA-Program Support,Time & Attendance Data Entry & Reporting,400A,Service And Rent,Expenses,"161,292"
"Policy, Planning, Finance & Administration",PA-Program Support,Time & Attendance Data Entry & Reporting,700A,Inter-Divisional Charges,Expenses,"13,051"
Property Tax,Special Levy for Scarborough Subway,Special Levy for Scarborough Subway,510A,Special Levy for Scarborough Subway,Expenses,"40,686,000"
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,100A,Salaries And Benefits,Expenses,"10,818,360"
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,200A,Materials & Supplies,Expenses,"79,818"
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,300A,Equipment,Expenses,"31,358"
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,400A,Service And Rent,Expenses,"1,006,007"
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,510A,Contribution To Reserves/Reserve Funds,Expenses,"10,149"
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,650A,Other Expenditures,Expenses,"35,223,802"
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,700A,Inter-Divisional Charges,Expenses,"378,480"
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,100A,Salaries And Benefits,Expenses,"49,639,376"
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,200A,Materials & Supplies,Expenses,"4,011,081"
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,300A,Equipment,Expenses,"104,996"
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,400A,Service And Rent,Expenses,"71,583,380"
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,510A,Contribution To Reserves/Reserve Funds,Expenses,"2,157,915"
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,650A,Other Expenditures,Expenses,"4,383,072"
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,700A,Inter-Divisional Charges,Expenses,"508,230"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Centralized Social Housing Waiting List,100A,Salaries And Benefits,Expenses,"5,430,240"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Centralized Social Housing Waiting List,200A,Materials & Supplies,Expenses,"39,240"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Centralized Social Housing Waiting List,300A,Equipment,Expenses,"100,966"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Centralized Social Housing Waiting List,400A,Service And Rent,Expenses,"1,036,611"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Centralized Social Housing Waiting List,510A,Contribution To Reserves/Reserve Funds,Expenses,"49,855"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Centralized Social Housing Waiting List,650A,Other Expenditures,Expenses,"300,000"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Centralized Social Housing Waiting List,700A,Inter-Divisional Charges,Expenses,"65,763"
