311 Toronto,311 Service Delivery,311 Service Delivery,Inter-Divisional Recoveries,750A,5293589,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,Sundry and Other Revenues,940A,29738,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,Transfers From Capital,920A,16422,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,Contribution From Reserves/Reserve Funds,930A,21625677,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,Federal Subsidies,810A,109301470,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,Inter-Divisional Recoveries,750A,1238,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,Other Subsidies,820A,-16710555,Non-normal value
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,Provincial Subsidies,805A,3663479,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,Sundry and Other Revenues,940A,29738,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,Transfers From Capital,920A,16422,
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Engagement,Contribution From Reserves/Reserve Funds,930A,22500,
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Engagement,Provincial Subsidies,805A,96494,
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Funding Delivery,Contribution From Reserves/Reserve Funds,930A,100000,
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Funding Delivery,Inter-Divisional Recoveries,750A,125000,
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Funding Delivery,Provincial Subsidies,805A,2008287,
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Safety,Inter-Divisional Recoveries,750A,223300,
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Safety,Provincial Subsidies,805A,243740,
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Tower & Neighbourhood Revitalization,Contribution From Reserves/Reserve Funds,930A,7115000,
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Tower & Neighbourhood Revitalization,Inter-Divisional Recoveries,750A,150000,
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Tower & Neighbourhood Revitalization,Provincial Subsidies,805A,392062,
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Youth Development,Contribution From Reserves/Reserve Funds,930A,292980,
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Youth Development,Federal Subsidies,810A,1625711,
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Youth Development,Provincial Subsidies,805A,114210,
"Social Development, Finance & Administration",CD-Community Partnership Investment Program,Investment Funding,Contribution From Reserves/Reserve Funds,930A,2370000,
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Financial Management & Reporting,Provincial Subsidies,805A,242261,
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Financial Planning & Coordination,Provincial Subsidies,805A,55223,
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Program Support,Provincial Subsidies,805A,86241,
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Revenue & Cash Management,Provincial Subsidies,805A,952521,
"Social Development, Finance & Administration",CD-Social Policy & Planning,Human Services System Planning,Contribution From Reserves/Reserve Funds,930A,123100,
"Social Development, Finance & Administration",CD-Social Policy & Planning,Human Services System Planning,Federal Subsidies,810A,413390,
"Social Development, Finance & Administration",CD-Social Policy & Planning,Human Services System Planning,Provincial Subsidies,805A,298475,
"Social Development, Finance & Administration",CD-Social Policy & Planning,Social Policy & Analysis,Provincial Subsidies,805A,62985,
"Social Development, Finance & Administration",CD-Social Policy & Planning,Social Research & Evaluation,Provincial Subsidies,805A,233903,
"Social Development, Finance & Administration",CD-Toronto Office of Partnerships,Corporate Partnership Initiatives,Contribution From Reserves/Reserve Funds,930A,150000,
"Social Development, Finance & Administration",CD-Toronto Office of Partnerships,Partnership Development,Contribution From Reserves/Reserve Funds,930A,275000,
"Social Development, Finance & Administration",CD-Toronto Office of Partnerships,Revenue Generation and Management,Contribution From Reserves/Reserve Funds,930A,75000,
"Social Development, Finance & Administration",CD-Toronto Office of Partnerships,Revenue Generation and Management,Sundry and Other Revenues,940A,108149,
"Social Development, Finance & Administration",Corporate Leadership (DCM),Corporate Leadership (DCM),Provincial Subsidies,805A,90018,
Solid Waste Management Services,SW-City Beautification,Street Litter Bins,Inter-Divisional Recoveries,750A,1354830,
Solid Waste Management Services,SW-Residual Management,Energy Generation,Sundry and Other Revenues,940A,800000,
Solid Waste Management Services,SW-Residual Management,Energy Generation,Transfers From Capital,920A,70000,
Solid Waste Management Services,SW-Residual Management,Green Lane Landfill Site,Inter-Divisional Recoveries,750A,1020000,
Solid Waste Management Services,SW-Residual Management,Green Lane Landfill Site,Sundry and Other Revenues,940A,39135871,
Solid Waste Management Services,SW-Residual Management,Green Lane Landfill Site,User Fees & Donations,850A,4430010,
Solid Waste Management Services,SW-Residual Management,Perpetual Care,Transfers From Capital,920A,2313207,
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Garbage (C&T),Inter-Divisional Recoveries,750A,1337659,
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Garbage (C&T),Sundry and Other Revenues,940A,3052460,
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Garbage (C&T),User Fees & Donations,850A,258464418,
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Leaf & Yard Waste (C&T),Sundry and Other Revenues,940A,34362,
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Leaf & Yard Waste (C&T),User Fees & Donations,850A,220029,
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Recyclables (C&T),Inter-Divisional Recoveries,750A,38004,
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Recyclables (C&T),Provincial Subsidies,805A,11121600,
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Durable Goods (P&T),Sundry and Other Revenues,940A,722437,
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Garbage (P&T),Inter-Divisional Recoveries,750A,2030254,
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Garbage (P&T),Provincial Subsidies,805A,6729,
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Garbage (P&T),Transfers From Capital,920A,465500,
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Garbage (P&T),User Fees & Donations,850A,8449500,
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Green Bin (P&T),Transfers From Capital,920A,123500,
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Leaf & Yard Waste (P&T),Inter-Divisional Recoveries,750A,100473,
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Leaf & Yard Waste (P&T),Provincial Subsidies,805A,1441,
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Leaf & Yard Waste (P&T),Transfers From Capital,920A,85500,
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Leaf & Yard Waste (P&T),User Fees & Donations,850A,313372,
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Municipal Hazardous & Special Waste (P&T),Provincial Subsidies,805A,1006621,
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Municipal Hazardous & Special Waste (P&T),Sundry and Other Revenues,940A,462187,
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Municipal Hazardous & Special Waste (P&T),Transfers From Capital,920A,70000,
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Resales of Recyclables (P&T),Inter-Divisional Recoveries,750A,103020,
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Resales of Recyclables (P&T),Provincial Subsidies,805A,9879012,
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Resales of Recyclables (P&T),Sundry and Other Revenues,940A,23061797,
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Resales of Recyclables (P&T),Transfers From Capital,920A,199500,
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Resales of Recyclables (P&T),User Fees & Donations,850A,311859,
Theatres,Theatrical & Other Cultural Events,Theatrical & Other Cultural Events,Contribution From Reserves/Reserve Funds,930A,2062340,
Theatres,Theatrical & Other Cultural Events,Theatrical & Other Cultural Events,Sundry and Other Revenues,940A,3088390,
Theatres,Theatrical & Other Cultural Events,Theatrical & Other Cultural Events,User Fees & Donations,850A,12827713,
Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,Contribution From Reserves/Reserve Funds,930A,4598000,
Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,Provincial Subsidies,805A,1835000,
Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,Sundry and Other Revenues,940A,5231000,
Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,User Fees & Donations,850A,24799000,
Toronto Atmospheric Fund,Toronto Atmospheric Fund,Toronto Atmospheric Fund,Sundry and Other Revenues,940A,1925000,
Toronto Atmospheric Fund,Toronto Atmospheric Fund,Toronto Atmospheric Fund,User Fees & Donations,850A,650000,
Toronto Building,BL-Building Compliance,Building Inspections,Inter-Divisional Recoveries,750A,337203,
Toronto Building,BL-Building Compliance,Building Inspections,Licences & Permits Revenue,860A,21233082,
Toronto Building,BL-Building Compliance,Building Inspections,Sundry and Other Revenues,940A,14600,
Toronto Building,BL-Building Compliance,Building Inspections,Transfers From Capital,920A,162721,
Toronto Building,BL-Building Compliance,Building Inspections,User Fees & Donations,850A,594567,
Toronto Building,BL-Building Compliance,Building Investigations,Inter-Divisional Recoveries,750A,68365,
Toronto Building,BL-Building Compliance,Building Investigations,Licences & Permits Revenue,860A,4304788,
Toronto Building,BL-Building Compliance,Building Investigations,Sundry and Other Revenues,940A,2960,
Toronto Building,BL-Building Compliance,Building Investigations,Transfers From Capital,920A,27921,
Toronto Building,BL-Building Compliance,Building Investigations,User Fees & Donations,850A,120542,
Toronto Building,BL-Building Compliance,Sign Tax Billing & Collection,Inter-Divisional Recoveries,750A,7391,
Toronto Building,BL-Building Compliance,Sign Tax Billing & Collection,Licences & Permits Revenue,860A,465382,
Toronto Building,BL-Building Compliance,Sign Tax Billing & Collection,Sundry and Other Revenues,940A,320,
Toronto Building,BL-Building Compliance,Sign Tax Billing & Collection,Transfers From Capital,920A,2384,
Toronto Building,BL-Building Compliance,Sign Tax Billing & Collection,User Fees & Donations,850A,13032,
Toronto Building,BL-Building Permission & Information,Building Information,Inter-Divisional Recoveries,750A,101623,
Toronto Building,BL-Building Permission & Information,Building Information,Licences & Permits Revenue,860A,6399012,
Toronto Building,BL-Building Permission & Information,Building Information,Sundry and Other Revenues,940A,4400,
Toronto Building,BL-Building Permission & Information,Building Information,Transfers From Capital,920A,49453,
Toronto Building,BL-Building Permission & Information,Building Information,User Fees & Donations,850A,179185,
Toronto Building,BL-Building Permission & Information,Building Permits,Inter-Divisional Recoveries,750A,330736,
Toronto Building,BL-Building Permission & Information,Building Permits,Licences & Permits Revenue,860A,20825871,
Toronto Building,BL-Building Permission & Information,Building Permits,Sundry and Other Revenues,940A,14320,
Toronto Building,BL-Building Permission & Information,Building Permits,Transfers From Capital,920A,153682,
Toronto Building,BL-Building Permission & Information,Building Permits,User Fees & Donations,850A,583164,
Toronto Building,BL-Building Permission & Information,Preliminary Review,Inter-Divisional Recoveries,750A,78527,
Toronto Building,BL-Building Permission & Information,Preliminary Review,Licences & Permits Revenue,860A,4944690,
Toronto Building,BL-Building Permission & Information,Preliminary Review,Sundry and Other Revenues,940A,3400,
Toronto Building,BL-Building Permission & Information,Preliminary Review,Transfers From Capital,920A,38103,
Toronto Building,BL-Building Permission & Information,Preliminary Review,User Fees & Donations,850A,138461,
Toronto Employment & Social Services,SS-Employment Services,Develop and implement integrated employment strategies,Inter-Divisional Recoveries,750A,5422,
Toronto Employment & Social Services,SS-Employment Services,Develop and implement integrated employment strategies,Provincial Subsidies,805A,2523400,
Toronto Employment & Social Services,SS-Employment Services,Plan and manage employment and career services,Contribution From Reserves/Reserve Funds,930A,1349250,
Toronto Employment & Social Services,SS-Employment Services,Plan and manage employment and career services,Inter-Divisional Recoveries,750A,60382,
Toronto Employment & Social Services,SS-Employment Services,Plan and manage employment and career services,Provincial Subsidies,805A,48375792,
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration,Contribution From Reserves/Reserve Funds,930A,13224031,
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration,Inter-Divisional Recoveries,750A,50035,
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration,Other Subsidies,820A,6799500,
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration,Provincial Subsidies,805A,784777885,
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration,Sundry and Other Revenues,940A,17800000,
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Eligibility determination and case management,Contribution From Reserves/Reserve Funds,930A,266875,
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Eligibility determination and case management,Inter-Divisional Recoveries,750A,107618,
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Eligibility determination and case management,Provincial Subsidies,805A,26861425,
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Provide Individualized Employment Service Planning,Contribution From Reserves/Reserve Funds,930A,392875,
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Provide Individualized Employment Service Planning,Inter-Divisional Recoveries,750A,130899,
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Provide Individualized Employment Service Planning,Provincial Subsidies,805A,54098260,
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,Inter-Divisional Recoveries,750A,416244,
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,Provincial Subsidies,805A,605547,
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,Sundry and Other Revenues,940A,1045,
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,Transfers From Capital,920A,900,
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,User Fees & Donations,850A,470953,
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,Inter-Divisional Recoveries,750A,540,
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,Provincial Subsidies,805A,1000542,
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,Sundry and Other Revenues,940A,3397,
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,Transfers From Capital,920A,225,
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,User Fees & Donations,850A,89,
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,Inter-Divisional Recoveries,750A,3962,
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,Provincial Subsidies,805A,3506809,
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,Sundry and Other Revenues,940A,6343,
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,Transfers From Capital,920A,1650,
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,User Fees & Donations,850A,6065,
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,Inter-Divisional Recoveries,750A,471791,
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,Provincial Subsidies,805A,86333216,
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,Sundry and Other Revenues,940A,567063,
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,Transfers From Capital,920A,71550,
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,User Fees & Donations,850A,267425,
Toronto Paramedic Services,Blocked AM-City Emergency & Major Event Mass Casualty Care,Blocked AM-City Emergency & Major Event Mass Casualty Care,Contribution From Reserves/Reserve Funds,930A,409503,
Toronto Paramedic Services,Blocked AM-City Emergency & Major Event Mass Casualty Care,Blocked AM-City Emergency & Major Event Mass Casualty Care,Inter-Divisional Recoveries,750A,1621,
Toronto Paramedic Services,Blocked AM-City Emergency & Major Event Mass Casualty Care,Blocked AM-City Emergency & Major Event Mass Casualty Care,Provincial Subsidies,805A,1004278,
Toronto Paramedic Services,Blocked AM-City Emergency & Major Event Mass Casualty Care,Blocked AM-City Emergency & Major Event Mass Casualty Care,Sundry and Other Revenues,940A,1764332,
Toronto Paramedic Services,Blocked AM-City Emergency & Major Event Mass Casualty Care,Blocked AM-City Emergency & Major Event Mass Casualty Care,Transfers From Capital,920A,675,
Toronto Paramedic Services,Blocked AM-City Emergency & Major Event Mass Casualty Care,Blocked AM-City Emergency & Major Event Mass Casualty Care,User Fees & Donations,850A,390092,
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,Emergency Medical Dispatch & Preliminary Care,Provincial Subsidies,805A,26097072,
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,Emergency Medical Dispatch & Preliminary Care,Sundry and Other Revenues,940A,2352,
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,Emergency Medical Dispatch & Preliminary Care,User Fees & Donations,850A,7091,
Toronto Parking Authority,Bike Share,Bike Share,Contribution From Reserves/Reserve Funds,930A,770000,
Toronto Parking Authority,Bike Share,Bike Share,Sundry and Other Revenues,940A,55100,
Toronto Parking Authority,Bike Share,Bike Share,User Fees & Donations,850A,88000,
Toronto Parking Authority,Off-Street Parking,Off-Street Parking,Sundry and Other Revenues,940A,4525503,
Toronto Parking Authority,Off-Street Parking,Off-Street Parking,User Fees & Donations,850A,80392489,
Toronto Parking Authority,On-Street Parking,On-Street Parking,User Fees & Donations,850A,48398348,
Toronto Police Service,Toronto Police Service,Toronto Police Service,Contribution From Reserves/Reserve Funds,930A,22534000,
Toronto Police Service,Toronto Police Service,Toronto Police Service,Inter-Divisional Recoveries,750A,9956100,
Toronto Police Service,Toronto Police Service,Toronto Police Service,Provincial Subsidies,805A,112245200,
Toronto Police Service,Toronto Police Service,Toronto Police Service,Sundry and Other Revenues,940A,900000,
Toronto Police Service,Toronto Police Service,Toronto Police Service,User Fees & Donations,850A,47018800,
Toronto Police Services Board,Toronto Police Service Governance & Oversight,Toronto Police Service Governance & Oversight,Contribution From Reserves/Reserve Funds,930A,750000,
Toronto Public Health,Chronic Diseases & Injuries,Chronic Diseases & Injuries,Contribution From Reserves/Reserve Funds,930A,52467,
Toronto Public Health,Chronic Diseases & Injuries,Chronic Diseases & Injuries,Federal Subsidies,810A,232161,
Toronto Public Health,Chronic Diseases & Injuries,Chronic Diseases & Injuries,Provincial Subsidies,805A,24233248,
Toronto Public Health,Chronic Diseases & Injuries,Chronic Diseases & Injuries,Sundry and Other Revenues,940A,7418,
Toronto Public Health,Chronic Diseases & Injuries,Chronic Diseases & Injuries,Transfers From Capital,920A,812865,
Toronto Public Health,Emergency Preparedness,Emergency Preparedness,Contribution From Reserves/Reserve Funds,930A,6279,
Toronto Public Health,Emergency Preparedness,Emergency Preparedness,Provincial Subsidies,805A,2304208,
Toronto Public Health,Emergency Preparedness,Emergency Preparedness,Sundry and Other Revenues,940A,10488,
Toronto Public Health,Emergency Preparedness,Emergency Preparedness,Transfers From Capital,920A,68128,
Toronto Public Health,Emergency Preparedness,Emergency Preparedness,User Fees & Donations,850A,20909,
Toronto Public Health,Environmental Health,Environmental Health,Contribution From Reserves/Reserve Funds,930A,62790,
Toronto Public Health,Environmental Health,Environmental Health,Federal Subsidies,810A,128036,
Toronto Public Health,Environmental Health,Environmental Health,Inter-Divisional Recoveries,750A,10630,
Toronto Public Health,Environmental Health,Environmental Health,Provincial Subsidies,805A,17030736,
Toronto Public Health,Environmental Health,Environmental Health,Sundry and Other Revenues,940A,103512,
Toronto Public Health,Environmental Health,Environmental Health,Transfers From Capital,920A,327853,
Toronto Public Health,Environmental Health,Environmental Health,User Fees & Donations,850A,929620,
Toronto Public Health,Family Health,Family Health,Contribution From Reserves/Reserve Funds,930A,1256,
Toronto Public Health,Family Health,Family Health,Inter-Divisional Recoveries,750A,9841662,
Toronto Public Health,Family Health,Family Health,Provincial Subsidies,805A,71655506,
Toronto Public Health,Family Health,Family Health,Sundry and Other Revenues,940A,234738,
Toronto Public Health,Family Health,Family Health,Transfers From Capital,920A,881765,
Toronto Public Health,Infectious Diseases,Infectious Diseases,Contribution From Reserves/Reserve Funds,930A,51488,
Toronto Public Health,Infectious Diseases,Infectious Diseases,Federal Subsidies,810A,3731,
Toronto Public Health,Infectious Diseases,Infectious Diseases,Provincial Subsidies,805A,48084727,
Toronto Public Health,Infectious Diseases,Infectious Diseases,Sundry and Other Revenues,940A,1041312,
Toronto Public Health,Infectious Diseases,Infectious Diseases,Transfers From Capital,920A,1199362,
Toronto Public Health,Infectious Diseases,Infectious Diseases,User Fees & Donations,850A,71217,
Toronto Public Health,Public Health Foundations,Public Health Foundations,Federal Subsidies,810A,23500,
Toronto Public Health,Public Health Foundations,Public Health Foundations,Inter-Divisional Recoveries,750A,689594,
Toronto Public Health,Public Health Foundations,Public Health Foundations,Provincial Subsidies,805A,16280788,
Toronto Public Health,Public Health Foundations,Public Health Foundations,Sundry and Other Revenues,940A,301438,
Toronto Public Health,Public Health Foundations,Public Health Foundations,Transfers From Capital,920A,348564,
Toronto Public Library,Library Collections Access & Borrowing,Library Collections Access & Borrowing,Contribution From Reserves/Reserve Funds,930A,3476000,
Toronto Public Library,Library Collections Access & Borrowing,Library Collections Access & Borrowing,Federal Subsidies,810A,3628,
Toronto Public Library,Library Collections Access & Borrowing,Library Collections Access & Borrowing,Provincial Subsidies,805A,1033120,
Toronto Public Library,Library Collections Access & Borrowing,Library Collections Access & Borrowing,Sundry and Other Revenues,940A,344216,
Toronto Public Library,Library Collections Access & Borrowing,Library Collections Access & Borrowing,Transfers From Capital,920A,56596,
Toronto Public Library,Library Collections Access & Borrowing,Library Collections Access & Borrowing,User Fees & Donations,850A,912902,
Toronto Public Library,Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,Contribution From Reserves/Reserve Funds,930A,83400,
Toronto Public Library,Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,Federal Subsidies,810A,16002,
Toronto Public Library,Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,Provincial Subsidies,805A,4557047,
Toronto Public Library,Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,Sundry and Other Revenues,940A,1518322,
Toronto Public Library,Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,Transfers From Capital,920A,249639,
Toronto Public Library,Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,User Fees & Donations,850A,4026019,
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",Federal Subsidies,810A,370,
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",Provincial Subsidies,805A,105233,
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",Sundry and Other Revenues,940A,35062,
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",Transfers From Capital,920A,5765,
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",User Fees & Donations,850A,92779,
Toronto Transit Commission - Conventional,Toronto Transit Commission - Conventional Service,Toronto Transit Commission - Conventional Service,Contribution From Reserves/Reserve Funds,930A,9897500,
Toronto Transit Commission - Conventional,Toronto Transit Commission - Conventional Service,Toronto Transit Commission - Conventional Service,Sundry and Other Revenues,940A,3504300,
Toronto Transit Commission - Conventional,Toronto Transit Commission - Conventional Service,Toronto Transit Commission - Conventional Service,User Fees & Donations,850A,1206687700,
Toronto Transit Commission - Wheel Trans,Toronto Transit Commission - Wheel-Trans Service,Toronto Transit Commission - Wheel-Trans Service,Contribution From Reserves/Reserve Funds,930A,300000,
Toronto Transit Commission - Wheel Trans,Toronto Transit Commission - Wheel-Trans Service,Toronto Transit Commission - Wheel-Trans Service,User Fees & Donations,850A,6214300,
Toronto Water,TW-Stormwater Management,TW-Stormwater Collection,Sundry and Other Revenues,940A,1028946,
Toronto Water,TW-Stormwater Management,TW-Stormwater Collection,Transfers From Capital,920A,128940,
Toronto Water,TW-Stormwater Management,TW-Stormwater Collection,User Fees & Donations,850A,1396955,
Toronto Water,TW-Stormwater Management,TW-Stormwater Treatment,Contribution From Reserves/Reserve Funds,930A,195000,
Toronto Water,TW-Stormwater Management,TW-Stormwater Treatment,Sundry and Other Revenues,940A,558415,
Toronto Water,TW-Stormwater Management,TW-Stormwater Treatment,Transfers From Capital,920A,73007,
Toronto Water,TW-Stormwater Management,TW-Stormwater Treatment,User Fees & Donations,850A,100483,
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Collection,Sundry and Other Revenues,940A,516948861,
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Collection,Transfers From Capital,920A,493558,
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Collection,User Fees & Donations,850A,7500183,
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Treatment,Inter-Divisional Recoveries,750A,25000,
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Treatment,Sundry and Other Revenues,940A,20114310,
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Treatment,Transfers From Capital,920A,534916,
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Treatment,User Fees & Donations,850A,14628670,
Toronto Water,TW-Water Treatment & Supply,TW-Water Distribution,Sundry and Other Revenues,940A,462538239,
Toronto Water,TW-Water Treatment & Supply,TW-Water Distribution,Transfers From Capital,920A,1058377,
Toronto Water,TW-Water Treatment & Supply,TW-Water Distribution,User Fees & Donations,850A,12991624,
Toronto Water,TW-Water Treatment & Supply,Water Treatment,Sundry and Other Revenues,940A,37227771,
Toronto Water,TW-Water Treatment & Supply,Water Treatment,Transfers From Capital,920A,378348,
Toronto Water,TW-Water Treatment & Supply,Water Treatment,User Fees & Donations,850A,3213446,
Toronto Zoo,Zoo Conservation & Science,Zoo Conservation & Science,Provincial Subsidies,805A,1011500,
Toronto Zoo,Zoo Conservation & Science,Zoo Conservation & Science,Sundry and Other Revenues,940A,74063,
Toronto Zoo,Zoo Conservation & Science,Zoo Conservation & Science,User Fees & Donations,850A,909396,
Toronto Zoo,Zoo Fundraising & Strategic Partnerships,Zoo Fundraising & Strategic Partnerships,Sundry and Other Revenues,940A,450,
Toronto Zoo,Zoo Fundraising & Strategic Partnerships,Zoo Fundraising & Strategic Partnerships,User Fees & Donations,850A,3130161,
Toronto Zoo,Zoo Visitor Services,Zoo Visitor Services,Contribution From Reserves/Reserve Funds,930A,386000,
Toronto Zoo,Zoo Visitor Services,Zoo Visitor Services,Sundry and Other Revenues,940A,646687,
Toronto Zoo,Zoo Visitor Services,Zoo Visitor Services,Transfers From Capital,920A,171000,
Toronto Zoo,Zoo Visitor Services,Zoo Visitor Services,User Fees & Donations,850A,32525846,
Transportation Services,TP-Permits & Applications,Construction Permits,Contribution From Reserves/Reserve Funds,930A,1623191,
Transportation Services,TP-Permits & Applications,Construction Permits,Licences & Permits Revenue,860A,5020398,
