311 Toronto,311 Service Delivery,311 Service Delivery,Inter-Divisional Recoveries,750A,Revenues,5293589,
"Policy, Planning, Finance & Administration",PA-Emergency Management,Emergency Management Program Development & Response,Sundry and Other Revenues,940A,Revenues,9125,
"Policy, Planning, Finance & Administration",PA-Financial Management,Budget Planning & coordination,Inter-Divisional Recoveries,750A,Revenues,966829,
"Policy, Planning, Finance & Administration",PA-Financial Management,Financial Transaction & Payment Processing,Inter-Divisional Recoveries,750A,Revenues,3152705,
"Policy, Planning, Finance & Administration",PA-Program Support,Complement Management & Reporting,Inter-Divisional Recoveries,750A,Revenues,210180,
"Policy, Planning, Finance & Administration",PA-Program Support,Complement Management & Reporting,Transfers From Capital,920A,Revenues,114615,
"Policy, Planning, Finance & Administration",PA-Program Support,General Administration,Inter-Divisional Recoveries,750A,Revenues,1050902,
"Policy, Planning, Finance & Administration",PA-Program Support,General Administration,Transfers From Capital,920A,Revenues,573076,
"Policy, Planning, Finance & Administration",PA-Program Support,Public Consultation,Inter-Divisional Recoveries,750A,Revenues,1261082,
"Policy, Planning, Finance & Administration",PA-Program Support,Public Consultation,Transfers From Capital,920A,Revenues,785299,
"Policy, Planning, Finance & Administration",PA-Program Support,Time & Attendance Data Entry & Reporting,Inter-Divisional Recoveries,750A,Revenues,1681443,
"Policy, Planning, Finance & Administration",PA-Program Support,Time & Attendance Data Entry & Reporting,Transfers From Capital,920A,Revenues,916922,
Property Tax,Property Tax,Property Tax,Property Tax,940A,Revenues,3848634765,
Property Tax,Special Levy for Scarborough Subway (Reserve Contribution),Special Levy for Scarborough Subway (Reserve Contribution),Special Levy for Scarborough Subway (Reserve Contribution),940A,Revenues,24846399,
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,Contribution From Reserves/Reserve Funds,930A,Revenues,416000,
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,Federal Subsidies,810A,Revenues,17296389,
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,Inter-Divisional Recoveries,750A,Revenues,3769,
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,Provincial Subsidies,805A,Revenues,18677996,
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,Sundry and Other Revenues,940A,Revenues,-179778,Non-normal value
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,Transfers From Capital,920A,Revenues,70012,
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,Contribution From Reserves/Reserve Funds,930A,Revenues,3790,
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,Inter-Divisional Recoveries,750A,Revenues,3769,
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,Provincial Subsidies,805A,Revenues,75542467,
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,Sundry and Other Revenues,940A,Revenues,127610,
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,Transfers From Capital,920A,Revenues,50012,
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,User Fees & Donations,850A,Revenues,472800,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,Contribution From Reserves/Reserve Funds,930A,Revenues,7550000,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,Inter-Divisional Recoveries,750A,Revenues,1238,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,Provincial Subsidies,805A,Revenues,29183089,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,Sundry and Other Revenues,940A,Revenues,29738,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,Transfers From Capital,920A,Revenues,16422,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,Contribution From Reserves/Reserve Funds,930A,Revenues,5993188,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,Federal Subsidies,810A,Revenues,30741183,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,Inter-Divisional Recoveries,750A,Revenues,1238,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,Other Subsidies,820A,Revenues,16710555,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,Provincial Subsidies,805A,Revenues,20241333,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,Sundry and Other Revenues,940A,Revenues,29738,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,Transfers From Capital,920A,Revenues,16422,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,Contribution From Reserves/Reserve Funds,930A,Revenues,21625677,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,Federal Subsidies,810A,Revenues,109301470,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,Inter-Divisional Recoveries,750A,Revenues,1238,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,Other Subsidies,820A,Revenues,-16710555,Non-normal value
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,Provincial Subsidies,805A,Revenues,3663479,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,Sundry and Other Revenues,940A,Revenues,29738,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,Transfers From Capital,920A,Revenues,16422,
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Engagement,Contribution From Reserves/Reserve Funds,930A,Revenues,22500,
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Engagement,Provincial Subsidies,805A,Revenues,96494,
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Funding Delivery,Contribution From Reserves/Reserve Funds,930A,Revenues,100000,
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Funding Delivery,Inter-Divisional Recoveries,750A,Revenues,125000,
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Funding Delivery,Provincial Subsidies,805A,Revenues,2008287,
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Safety,Inter-Divisional Recoveries,750A,Revenues,223300,
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Safety,Provincial Subsidies,805A,Revenues,243740,
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Tower & Neighbourhood Revitalization,Contribution From Reserves/Reserve Funds,930A,Revenues,7115000,
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Tower & Neighbourhood Revitalization,Inter-Divisional Recoveries,750A,Revenues,150000,
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Tower & Neighbourhood Revitalization,Provincial Subsidies,805A,Revenues,392062,
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Youth Development,Contribution From Reserves/Reserve Funds,930A,Revenues,292980,
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Youth Development,Federal Subsidies,810A,Revenues,1625711,
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Youth Development,Provincial Subsidies,805A,Revenues,114210,
"Social Development, Finance & Administration",CD-Community Partnership Investment Program,Investment Funding,Contribution From Reserves/Reserve Funds,930A,Revenues,2370000,
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Financial Management & Reporting,Provincial Subsidies,805A,Revenues,242261,
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Financial Planning & Coordination,Provincial Subsidies,805A,Revenues,55223,
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Program Support,Provincial Subsidies,805A,Revenues,86241,
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Revenue & Cash Management,Provincial Subsidies,805A,Revenues,952521,
"Social Development, Finance & Administration",CD-Social Policy & Planning,Human Services System Planning,Contribution From Reserves/Reserve Funds,930A,Revenues,123100,
"Social Development, Finance & Administration",CD-Social Policy & Planning,Human Services System Planning,Federal Subsidies,810A,Revenues,413390,
"Social Development, Finance & Administration",CD-Social Policy & Planning,Human Services System Planning,Provincial Subsidies,805A,Revenues,298475,
"Social Development, Finance & Administration",CD-Social Policy & Planning,Social Policy & Analysis,Provincial Subsidies,805A,Revenues,62985,
"Social Development, Finance & Administration",CD-Social Policy & Planning,Social Research & Evaluation,Provincial Subsidies,805A,Revenues,233903,
"Social Development, Finance & Administration",CD-Toronto Office of Partnerships,Corporate Partnership Initiatives,Contribution From Reserves/Reserve Funds,930A,Revenues,150000,
"Social Development, Finance & Administration",CD-Toronto Office of Partnerships,Partnership Development,Contribution From Reserves/Reserve Funds,930A,Revenues,275000,
"Social Development, Finance & Administration",CD-Toronto Office of Partnerships,Revenue Generation and Management,Contribution From Reserves/Reserve Funds,930A,Revenues,75000,
"Social Development, Finance & Administration",CD-Toronto Office of Partnerships,Revenue Generation and Management,Sundry and Other Revenues,940A,Revenues,108149,
"Social Development, Finance & Administration",Corporate Leadership (DCM),Corporate Leadership (DCM),Provincial Subsidies,805A,Revenues,90018,
Solid Waste Management Services,SW-City Beautification,Street Litter Bins,Inter-Divisional Recoveries,750A,Revenues,1354830,
Solid Waste Management Services,SW-Residual Management,Energy Generation,Sundry and Other Revenues,940A,Revenues,800000,
Solid Waste Management Services,SW-Residual Management,Energy Generation,Transfers From Capital,920A,Revenues,70000,
Solid Waste Management Services,SW-Residual Management,Green Lane Landfill Site,Inter-Divisional Recoveries,750A,Revenues,1020000,
Solid Waste Management Services,SW-Residual Management,Green Lane Landfill Site,Sundry and Other Revenues,940A,Revenues,39135871,
Solid Waste Management Services,SW-Residual Management,Green Lane Landfill Site,User Fees & Donations,850A,Revenues,4430010,
Solid Waste Management Services,SW-Residual Management,Perpetual Care,Transfers From Capital,920A,Revenues,2313207,
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Garbage (C&T),Inter-Divisional Recoveries,750A,Revenues,1337659,
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Garbage (C&T),Sundry and Other Revenues,940A,Revenues,3052460,
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Garbage (C&T),User Fees & Donations,850A,Revenues,258464418,
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Leaf & Yard Waste (C&T),Sundry and Other Revenues,940A,Revenues,34362,
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Leaf & Yard Waste (C&T),User Fees & Donations,850A,Revenues,220029,
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Recyclables (C&T),Inter-Divisional Recoveries,750A,Revenues,38004,
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Recyclables (C&T),Provincial Subsidies,805A,Revenues,11121600,
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Durable Goods (P&T),Sundry and Other Revenues,940A,Revenues,722437,
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Garbage (P&T),Inter-Divisional Recoveries,750A,Revenues,2030254,
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Garbage (P&T),Provincial Subsidies,805A,Revenues,6729,
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Garbage (P&T),Transfers From Capital,920A,Revenues,465500,
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Garbage (P&T),User Fees & Donations,850A,Revenues,8449500,
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Green Bin (P&T),Transfers From Capital,920A,Revenues,123500,
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Leaf & Yard Waste (P&T),Inter-Divisional Recoveries,750A,Revenues,100473,
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Leaf & Yard Waste (P&T),Provincial Subsidies,805A,Revenues,1441,
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Leaf & Yard Waste (P&T),Transfers From Capital,920A,Revenues,85500,
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Leaf & Yard Waste (P&T),User Fees & Donations,850A,Revenues,313372,
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Municipal Hazardous & Special Waste (P&T),Provincial Subsidies,805A,Revenues,1006621,
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Municipal Hazardous & Special Waste (P&T),Sundry and Other Revenues,940A,Revenues,462187,
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Municipal Hazardous & Special Waste (P&T),Transfers From Capital,920A,Revenues,70000,
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Resales of Recyclables (P&T),Inter-Divisional Recoveries,750A,Revenues,103020,
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Resales of Recyclables (P&T),Provincial Subsidies,805A,Revenues,9879012,
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Resales of Recyclables (P&T),Sundry and Other Revenues,940A,Revenues,23061797,
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Resales of Recyclables (P&T),Transfers From Capital,920A,Revenues,199500,
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Resales of Recyclables (P&T),User Fees & Donations,850A,Revenues,311859,
Theatres,Theatrical & Other Cultural Events,Theatrical & Other Cultural Events,Contribution From Reserves/Reserve Funds,930A,Revenues,2062340,
Theatres,Theatrical & Other Cultural Events,Theatrical & Other Cultural Events,Sundry and Other Revenues,940A,Revenues,3088390,
Theatres,Theatrical & Other Cultural Events,Theatrical & Other Cultural Events,User Fees & Donations,850A,Revenues,12827713,
Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,Contribution From Reserves/Reserve Funds,930A,Revenues,4598000,
Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,Provincial Subsidies,805A,Revenues,1835000,
Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,Sundry and Other Revenues,940A,Revenues,5231000,
Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,User Fees & Donations,850A,Revenues,24799000,
Toronto Atmospheric Fund,Toronto Atmospheric Fund,Toronto Atmospheric Fund,Sundry and Other Revenues,940A,Revenues,1925000,
Toronto Atmospheric Fund,Toronto Atmospheric Fund,Toronto Atmospheric Fund,User Fees & Donations,850A,Revenues,650000,
Toronto Building,BL-Building Compliance,Building Inspections,Inter-Divisional Recoveries,750A,Revenues,337203,
Toronto Building,BL-Building Compliance,Building Inspections,Licences & Permits Revenue,860A,Revenues,21233082,
Toronto Building,BL-Building Compliance,Building Inspections,Sundry and Other Revenues,940A,Revenues,14600,
Toronto Building,BL-Building Compliance,Building Inspections,Transfers From Capital,920A,Revenues,162721,
Toronto Building,BL-Building Compliance,Building Inspections,User Fees & Donations,850A,Revenues,594567,
Toronto Building,BL-Building Compliance,Building Investigations,Inter-Divisional Recoveries,750A,Revenues,68365,
Toronto Building,BL-Building Compliance,Building Investigations,Licences & Permits Revenue,860A,Revenues,4304788,
Toronto Building,BL-Building Compliance,Building Investigations,Sundry and Other Revenues,940A,Revenues,2960,
Toronto Building,BL-Building Compliance,Building Investigations,Transfers From Capital,920A,Revenues,27921,
Toronto Building,BL-Building Compliance,Building Investigations,User Fees & Donations,850A,Revenues,120542,
Toronto Building,BL-Building Compliance,Sign Tax Billing & Collection,Inter-Divisional Recoveries,750A,Revenues,7391,
Toronto Building,BL-Building Compliance,Sign Tax Billing & Collection,Licences & Permits Revenue,860A,Revenues,465382,
Toronto Building,BL-Building Compliance,Sign Tax Billing & Collection,Sundry and Other Revenues,940A,Revenues,320,
Toronto Building,BL-Building Compliance,Sign Tax Billing & Collection,Transfers From Capital,920A,Revenues,2384,
Toronto Building,BL-Building Compliance,Sign Tax Billing & Collection,User Fees & Donations,850A,Revenues,13032,
Toronto Building,BL-Building Permission & Information,Building Information,Inter-Divisional Recoveries,750A,Revenues,101623,
Toronto Building,BL-Building Permission & Information,Building Information,Licences & Permits Revenue,860A,Revenues,6399012,
Toronto Building,BL-Building Permission & Information,Building Information,Sundry and Other Revenues,940A,Revenues,4400,
Toronto Building,BL-Building Permission & Information,Building Information,Transfers From Capital,920A,Revenues,49453,
Toronto Building,BL-Building Permission & Information,Building Information,User Fees & Donations,850A,Revenues,179185,
Toronto Building,BL-Building Permission & Information,Building Permits,Inter-Divisional Recoveries,750A,Revenues,330736,
Toronto Building,BL-Building Permission & Information,Building Permits,Licences & Permits Revenue,860A,Revenues,20825871,
Toronto Building,BL-Building Permission & Information,Building Permits,Sundry and Other Revenues,940A,Revenues,14320,
Toronto Building,BL-Building Permission & Information,Building Permits,Transfers From Capital,920A,Revenues,153682,
Toronto Building,BL-Building Permission & Information,Building Permits,User Fees & Donations,850A,Revenues,583164,
Toronto Building,BL-Building Permission & Information,Preliminary Review,Inter-Divisional Recoveries,750A,Revenues,78527,
Toronto Building,BL-Building Permission & Information,Preliminary Review,Licences & Permits Revenue,860A,Revenues,4944690,
Toronto Building,BL-Building Permission & Information,Preliminary Review,Sundry and Other Revenues,940A,Revenues,3400,
Toronto Building,BL-Building Permission & Information,Preliminary Review,Transfers From Capital,920A,Revenues,38103,
Toronto Building,BL-Building Permission & Information,Preliminary Review,User Fees & Donations,850A,Revenues,138461,
Toronto Employment & Social Services,SS-Employment Services,Develop and implement integrated employment strategies,Inter-Divisional Recoveries,750A,Revenues,5422,
Toronto Employment & Social Services,SS-Employment Services,Develop and implement integrated employment strategies,Provincial Subsidies,805A,Revenues,2523400,
Toronto Employment & Social Services,SS-Employment Services,Plan and manage employment and career services,Contribution From Reserves/Reserve Funds,930A,Revenues,1349250,
Toronto Employment & Social Services,SS-Employment Services,Plan and manage employment and career services,Inter-Divisional Recoveries,750A,Revenues,60382,
Toronto Employment & Social Services,SS-Employment Services,Plan and manage employment and career services,Provincial Subsidies,805A,Revenues,48375792,
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration,Contribution From Reserves/Reserve Funds,930A,Revenues,13224031,
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration,Inter-Divisional Recoveries,750A,Revenues,50035,
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration,Other Subsidies,820A,Revenues,6799500,
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration,Provincial Subsidies,805A,Revenues,784777885,
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration,Sundry and Other Revenues,940A,Revenues,17800000,
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Eligibility determination and case management,Contribution From Reserves/Reserve Funds,930A,Revenues,266875,
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Eligibility determination and case management,Inter-Divisional Recoveries,750A,Revenues,107618,
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Eligibility determination and case management,Provincial Subsidies,805A,Revenues,26861425,
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Provide Individualized Employment Service Planning,Contribution From Reserves/Reserve Funds,930A,Revenues,392875,
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Provide Individualized Employment Service Planning,Inter-Divisional Recoveries,750A,Revenues,130899,
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Provide Individualized Employment Service Planning,Provincial Subsidies,805A,Revenues,54098260,
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,Inter-Divisional Recoveries,750A,Revenues,416244,
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,Provincial Subsidies,805A,Revenues,605547,
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,Sundry and Other Revenues,940A,Revenues,1045,
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,Transfers From Capital,920A,Revenues,900,
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,User Fees & Donations,850A,Revenues,470953,
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,Inter-Divisional Recoveries,750A,Revenues,540,
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,Provincial Subsidies,805A,Revenues,1000542,
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,Sundry and Other Revenues,940A,Revenues,3397,
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,Transfers From Capital,920A,Revenues,225,
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,User Fees & Donations,850A,Revenues,89,
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,Inter-Divisional Recoveries,750A,Revenues,3962,
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,Provincial Subsidies,805A,Revenues,3506809,
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,Sundry and Other Revenues,940A,Revenues,6343,
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,Transfers From Capital,920A,Revenues,1650,
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,User Fees & Donations,850A,Revenues,6065,
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,Inter-Divisional Recoveries,750A,Revenues,471791,
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,Provincial Subsidies,805A,Revenues,86333216,
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,Sundry and Other Revenues,940A,Revenues,567063,
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,Transfers From Capital,920A,Revenues,71550,
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,User Fees & Donations,850A,Revenues,267425,
Toronto Paramedic Services,Blocked AM-City Emergency & Major Event Mass Casualty Care,Blocked AM-City Emergency & Major Event Mass Casualty Care,Contribution From Reserves/Reserve Funds,930A,Revenues,409503,
Toronto Paramedic Services,Blocked AM-City Emergency & Major Event Mass Casualty Care,Blocked AM-City Emergency & Major Event Mass Casualty Care,Inter-Divisional Recoveries,750A,Revenues,1621,
Toronto Paramedic Services,Blocked AM-City Emergency & Major Event Mass Casualty Care,Blocked AM-City Emergency & Major Event Mass Casualty Care,Provincial Subsidies,805A,Revenues,1004278,
Toronto Paramedic Services,Blocked AM-City Emergency & Major Event Mass Casualty Care,Blocked AM-City Emergency & Major Event Mass Casualty Care,Sundry and Other Revenues,940A,Revenues,1764332,
Toronto Paramedic Services,Blocked AM-City Emergency & Major Event Mass Casualty Care,Blocked AM-City Emergency & Major Event Mass Casualty Care,Transfers From Capital,920A,Revenues,675,
Toronto Paramedic Services,Blocked AM-City Emergency & Major Event Mass Casualty Care,Blocked AM-City Emergency & Major Event Mass Casualty Care,User Fees & Donations,850A,Revenues,390092,
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,Emergency Medical Dispatch & Preliminary Care,Provincial Subsidies,805A,Revenues,26097072,
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,Emergency Medical Dispatch & Preliminary Care,Sundry and Other Revenues,940A,Revenues,2352,
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,Emergency Medical Dispatch & Preliminary Care,User Fees & Donations,850A,Revenues,7091,
Toronto Parking Authority,Bike Share,Bike Share,Contribution From Reserves/Reserve Funds,930A,Revenues,770000,
Toronto Parking Authority,Bike Share,Bike Share,Sundry and Other Revenues,940A,Revenues,55100,
Toronto Parking Authority,Bike Share,Bike Share,User Fees & Donations,850A,Revenues,88000,
Toronto Parking Authority,Off-Street Parking,Off-Street Parking,Sundry and Other Revenues,940A,Revenues,4525503,
Toronto Parking Authority,Off-Street Parking,Off-Street Parking,User Fees & Donations,850A,Revenues,80392489,
Toronto Parking Authority,On-Street Parking,On-Street Parking,User Fees & Donations,850A,Revenues,48398348,
Toronto Police Service,Toronto Police Service,Toronto Police Service,Contribution From Reserves/Reserve Funds,930A,Revenues,22534000,
Toronto Police Service,Toronto Police Service,Toronto Police Service,Inter-Divisional Recoveries,750A,Revenues,9956100,
Toronto Police Service,Toronto Police Service,Toronto Police Service,Provincial Subsidies,805A,Revenues,112245200,
Toronto Police Service,Toronto Police Service,Toronto Police Service,Sundry and Other Revenues,940A,Revenues,900000,
Toronto Police Service,Toronto Police Service,Toronto Police Service,User Fees & Donations,850A,Revenues,47018800,
Toronto Police Services Board,Toronto Police Service Governance & Oversight,Toronto Police Service Governance & Oversight,Contribution From Reserves/Reserve Funds,930A,Revenues,750000,
Toronto Public Health,Chronic Diseases & Injuries,Chronic Diseases & Injuries,Contribution From Reserves/Reserve Funds,930A,Revenues,52467,
Toronto Public Health,Chronic Diseases & Injuries,Chronic Diseases & Injuries,Federal Subsidies,810A,Revenues,232161,
Toronto Public Health,Chronic Diseases & Injuries,Chronic Diseases & Injuries,Provincial Subsidies,805A,Revenues,24233248,
Toronto Public Health,Chronic Diseases & Injuries,Chronic Diseases & Injuries,Sundry and Other Revenues,940A,Revenues,7418,
Toronto Public Health,Chronic Diseases & Injuries,Chronic Diseases & Injuries,Transfers From Capital,920A,Revenues,812865,
Toronto Public Health,Emergency Preparedness,Emergency Preparedness,Contribution From Reserves/Reserve Funds,930A,Revenues,6279,
Toronto Public Health,Emergency Preparedness,Emergency Preparedness,Provincial Subsidies,805A,Revenues,2304208,
Toronto Public Health,Emergency Preparedness,Emergency Preparedness,Sundry and Other Revenues,940A,Revenues,10488,
Toronto Public Health,Emergency Preparedness,Emergency Preparedness,Transfers From Capital,920A,Revenues,68128,
Toronto Public Health,Emergency Preparedness,Emergency Preparedness,User Fees & Donations,850A,Revenues,20909,
Toronto Public Health,Environmental Health,Environmental Health,Contribution From Reserves/Reserve Funds,930A,Revenues,62790,
Toronto Public Health,Environmental Health,Environmental Health,Federal Subsidies,810A,Revenues,128036,
Toronto Public Health,Environmental Health,Environmental Health,Inter-Divisional Recoveries,750A,Revenues,10630,
Toronto Public Health,Environmental Health,Environmental Health,Provincial Subsidies,805A,Revenues,17030736,
Toronto Public Health,Environmental Health,Environmental Health,Sundry and Other Revenues,940A,Revenues,103512,
Toronto Public Health,Environmental Health,Environmental Health,Transfers From Capital,920A,Revenues,327853,
Toronto Public Health,Environmental Health,Environmental Health,User Fees & Donations,850A,Revenues,929620,
Toronto Public Health,Family Health,Family Health,Contribution From Reserves/Reserve Funds,930A,Revenues,1256,
Toronto Public Health,Family Health,Family Health,Inter-Divisional Recoveries,750A,Revenues,9841662,
Toronto Public Health,Family Health,Family Health,Provincial Subsidies,805A,Revenues,71655506,
Toronto Public Health,Family Health,Family Health,Sundry and Other Revenues,940A,Revenues,234738,
Toronto Public Health,Family Health,Family Health,Transfers From Capital,920A,Revenues,881765,
Toronto Public Health,Infectious Diseases,Infectious Diseases,Contribution From Reserves/Reserve Funds,930A,Revenues,51488,
Toronto Public Health,Infectious Diseases,Infectious Diseases,Federal Subsidies,810A,Revenues,3731,
