311 Toronto,311 Service Delivery,311 Service Delivery,Inter-Divisional Recoveries,750A,Revenues,"(5,293,589)"
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",Sundry and Other Revenues,940A,Revenues,"(67,730)"
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,Contribution From Reserves/Reserve Funds,930A,Revenues,"(1,260,383)"
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,Inter-Divisional Recoveries,750A,Revenues,"(1,258,681)"
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,Licences & Permits Revenue,860A,Revenues,"(3,869,131)"
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,Provincial Subsidies,805A,Revenues,"(170,000)"
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,Sundry and Other Revenues,940A,Revenues,"(987,660)"
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,User Fees & Donations,850A,Revenues,"(5,956,135)"
"Parks, Forestry & Recreation",PR-Parks,Ravines & Watercourses,Inter-Divisional Recoveries,750A,Revenues,"(232,600)"
"Parks, Forestry & Recreation",PR-Parks,Ravines & Watercourses,Licences & Permits Revenue,860A,Revenues,(84)
"Parks, Forestry & Recreation",PR-Parks,Ravines & Watercourses,Sundry and Other Revenues,940A,Revenues,"(3,488)"
"Parks, Forestry & Recreation",PR-Parks,Toronto Island Ferry Operations,Inter-Divisional Recoveries,750A,Revenues,"(44,550)"
"Parks, Forestry & Recreation",PR-Parks,Toronto Island Ferry Operations,User Fees & Donations,850A,Revenues,"(6,737,659)"
"Parks, Forestry & Recreation",PR-Parks,Zoo & Farm Attractions,Licences & Permits Revenue,860A,Revenues,"(27,672)"
"Parks, Forestry & Recreation",PR-Parks,Zoo & Farm Attractions,Sundry and Other Revenues,940A,Revenues,"(32,832)"
"Parks, Forestry & Recreation",PR-Parks,Zoo & Farm Attractions,User Fees & Donations,850A,Revenues,"(78,301)"
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,Contribution From Reserves/Reserve Funds,930A,Revenues,"(17,924,364)"
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,Federal Subsidies,810A,Revenues,"(3,500,000)"
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,Inter-Divisional Recoveries,750A,Revenues,"(37,500)"
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,Sundry and Other Revenues,940A,Revenues,"(148,752)"
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,Contribution From Reserves/Reserve Funds,930A,Revenues,"(2,475,446)"
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,Inter-Divisional Recoveries,750A,Revenues,"(1,962,500)"
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,Sundry and Other Revenues,940A,Revenues,"(365,503)"
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,User Fees & Donations,850A,Revenues,"(600,000)"
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Protection,User Fees & Donations,850A,Revenues,"(2,712,188)"
"Parks, Forestry & Recreation",PR-Urban Forestry,Urban Forestry Planning & Development,Contribution From Reserves/Reserve Funds,930A,Revenues,"(11,928)"
"Parks, Forestry & Recreation",PR-Urban Forestry,Urban Forestry Planning & Development,Transfers From Capital,920A,Revenues,"(979,920)"
"Parks, Forestry & Recreation",PR-Urban Forestry,Urban Forestry Planning & Development,User Fees & Donations,850A,Revenues,"(1,747)"
"Policy, Planning, Finance & Administration",Organizational Effectiveness,Organizational Effectiveness,Inter-Divisional Recoveries,750A,Revenues,"(1,044,194)"
"Policy, Planning, Finance & Administration",Organizational Effectiveness,Organizational Effectiveness,Sundry and Other Revenues,940A,Revenues,"(222,040)"
"Policy, Planning, Finance & Administration",PA-Emergency Management,Emergency Management Program Development & Response,Contribution From Reserves/Reserve Funds,930A,Revenues,(875)
"Policy, Planning, Finance & Administration",PA-Emergency Management,Emergency Management Program Development & Response,Provincial Subsidies,805A,Revenues,"(225,000)"
"Policy, Planning, Finance & Administration",PA-Emergency Management,Emergency Management Program Development & Response,Sundry and Other Revenues,940A,Revenues,"(9,125)"
"Policy, Planning, Finance & Administration",PA-Financial Management,Budget Planning & coordination,Inter-Divisional Recoveries,750A,Revenues,"(966,829)"
"Policy, Planning, Finance & Administration",PA-Financial Management,Financial Transaction & Payment Processing,Inter-Divisional Recoveries,750A,Revenues,"(3,152,705)"
"Policy, Planning, Finance & Administration",PA-Program Support,Complement Management & Reporting,Inter-Divisional Recoveries,750A,Revenues,"(210,180)"
"Policy, Planning, Finance & Administration",PA-Program Support,Complement Management & Reporting,Transfers From Capital,920A,Revenues,"(114,615)"
"Policy, Planning, Finance & Administration",PA-Program Support,General Administration,Inter-Divisional Recoveries,750A,Revenues,"(1,050,902)"
"Policy, Planning, Finance & Administration",PA-Program Support,General Administration,Transfers From Capital,920A,Revenues,"(573,076)"
"Policy, Planning, Finance & Administration",PA-Program Support,Public Consultation,Inter-Divisional Recoveries,750A,Revenues,"(1,261,082)"
"Policy, Planning, Finance & Administration",PA-Program Support,Public Consultation,Transfers From Capital,920A,Revenues,"(785,299)"
"Policy, Planning, Finance & Administration",PA-Program Support,Time & Attendance Data Entry & Reporting,Inter-Divisional Recoveries,750A,Revenues,"(1,681,443)"
"Policy, Planning, Finance & Administration",PA-Program Support,Time & Attendance Data Entry & Reporting,Transfers From Capital,920A,Revenues,"(916,922)"
Property Tax,Property Tax,Property Tax,Property Tax,940A,Revenues,"(3,848,634,765)"
Property Tax,Special Levy for Scarborough Subway (Reserve Contribution),Special Levy for Scarborough Subway (Reserve Contribution),Special Levy for Scarborough Subway (Reserve Contribution),940A,Revenues,"(24,846,399)"
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,Contribution From Reserves/Reserve Funds,930A,Revenues,"(416,000)"
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,Federal Subsidies,810A,Revenues,"(17,296,389)"
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,Inter-Divisional Recoveries,750A,Revenues,"(3,769)"
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,Provincial Subsidies,805A,Revenues,"(18,677,996)"
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,Sundry and Other Revenues,940A,Revenues,179778
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,Transfers From Capital,920A,Revenues,"(70,012)"
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,Contribution From Reserves/Reserve Funds,930A,Revenues,"(3,790)"
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,Inter-Divisional Recoveries,750A,Revenues,"(3,769)"
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,Provincial Subsidies,805A,Revenues,"(75,542,467)"
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,Sundry and Other Revenues,940A,Revenues,"(127,610)"
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,Transfers From Capital,920A,Revenues,"(50,012)"
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,User Fees & Donations,850A,Revenues,"(472,800)"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,Contribution From Reserves/Reserve Funds,930A,Revenues,"(7,550,000)"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,Inter-Divisional Recoveries,750A,Revenues,"(1,238)"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,Provincial Subsidies,805A,Revenues,"(29,183,089)"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,Sundry and Other Revenues,940A,Revenues,"(29,738)"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,Transfers From Capital,920A,Revenues,"(16,422)"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,Contribution From Reserves/Reserve Funds,930A,Revenues,"(5,993,188)"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,Federal Subsidies,810A,Revenues,"(30,741,183)"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,Inter-Divisional Recoveries,750A,Revenues,"(1,238)"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,Other Subsidies,820A,Revenues,"(16,710,555)"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,Provincial Subsidies,805A,Revenues,"(20,241,333)"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,Sundry and Other Revenues,940A,Revenues,"(29,738)"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,Transfers From Capital,920A,Revenues,"(16,422)"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,Contribution From Reserves/Reserve Funds,930A,Revenues,"(21,625,677)"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,Federal Subsidies,810A,Revenues,"(109,301,470)"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,Inter-Divisional Recoveries,750A,Revenues,"(1,238)"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,Other Subsidies,820A,Revenues,16710555
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,Provincial Subsidies,805A,Revenues,"(3,663,479)"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,Sundry and Other Revenues,940A,Revenues,"(29,738)"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,Transfers From Capital,920A,Revenues,"(16,422)"
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Engagement,Contribution From Reserves/Reserve Funds,930A,Revenues,"(22,500)"
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Engagement,Provincial Subsidies,805A,Revenues,"(96,494)"
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Funding Delivery,Contribution From Reserves/Reserve Funds,930A,Revenues,"(100,000)"
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Funding Delivery,Inter-Divisional Recoveries,750A,Revenues,"(125,000)"
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Funding Delivery,Provincial Subsidies,805A,Revenues,"(2,008,287)"
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Safety,Inter-Divisional Recoveries,750A,Revenues,"(223,300)"
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Safety,Provincial Subsidies,805A,Revenues,"(243,740)"
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Tower & Neighbourhood Revitalization,Contribution From Reserves/Reserve Funds,930A,Revenues,"(7,115,000)"
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Tower & Neighbourhood Revitalization,Inter-Divisional Recoveries,750A,Revenues,"(150,000)"
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Tower & Neighbourhood Revitalization,Provincial Subsidies,805A,Revenues,"(392,062)"
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Youth Development,Contribution From Reserves/Reserve Funds,930A,Revenues,"(292,980)"
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Youth Development,Federal Subsidies,810A,Revenues,"(1,625,711)"
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Youth Development,Provincial Subsidies,805A,Revenues,"(114,210)"
"Social Development, Finance & Administration",CD-Community Partnership Investment Program,Investment Funding,Contribution From Reserves/Reserve Funds,930A,Revenues,"(2,370,000)"
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Financial Management & Reporting,Provincial Subsidies,805A,Revenues,"(242,261)"
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Financial Planning & Coordination,Provincial Subsidies,805A,Revenues,"(55,223)"
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Program Support,Provincial Subsidies,805A,Revenues,"(86,241)"
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Revenue & Cash Management,Provincial Subsidies,805A,Revenues,"(952,521)"
"Social Development, Finance & Administration",CD-Social Policy & Planning,Human Services System Planning,Contribution From Reserves/Reserve Funds,930A,Revenues,"(123,100)"
"Social Development, Finance & Administration",CD-Social Policy & Planning,Human Services System Planning,Federal Subsidies,810A,Revenues,"(413,390)"
"Social Development, Finance & Administration",CD-Social Policy & Planning,Human Services System Planning,Provincial Subsidies,805A,Revenues,"(298,475)"
"Social Development, Finance & Administration",CD-Social Policy & Planning,Social Policy & Analysis,Provincial Subsidies,805A,Revenues,"(62,985)"
"Social Development, Finance & Administration",CD-Social Policy & Planning,Social Research & Evaluation,Provincial Subsidies,805A,Revenues,"(233,903)"
"Social Development, Finance & Administration",CD-Toronto Office of Partnerships,Corporate Partnership Initiatives,Contribution From Reserves/Reserve Funds,930A,Revenues,"(150,000)"
"Social Development, Finance & Administration",CD-Toronto Office of Partnerships,Partnership Development,Contribution From Reserves/Reserve Funds,930A,Revenues,"(275,000)"
"Social Development, Finance & Administration",CD-Toronto Office of Partnerships,Revenue Generation and Management,Contribution From Reserves/Reserve Funds,930A,Revenues,"(75,000)"
"Social Development, Finance & Administration",CD-Toronto Office of Partnerships,Revenue Generation and Management,Sundry and Other Revenues,940A,Revenues,"(108,149)"
"Social Development, Finance & Administration",Corporate Leadership (DCM),Corporate Leadership (DCM),Provincial Subsidies,805A,Revenues,"(90,018)"
Solid Waste Management Services,SW-City Beautification,Street Litter Bins,Inter-Divisional Recoveries,750A,Revenues,"(1,354,830)"
Solid Waste Management Services,SW-Residual Management,Energy Generation,Sundry and Other Revenues,940A,Revenues,"(800,000)"
Solid Waste Management Services,SW-Residual Management,Energy Generation,Transfers From Capital,920A,Revenues,"(70,000)"
Solid Waste Management Services,SW-Residual Management,Green Lane Landfill Site,Inter-Divisional Recoveries,750A,Revenues,"(1,020,000)"
Solid Waste Management Services,SW-Residual Management,Green Lane Landfill Site,Sundry and Other Revenues,940A,Revenues,"(39,135,871)"
Solid Waste Management Services,SW-Residual Management,Green Lane Landfill Site,User Fees & Donations,850A,Revenues,"(4,430,010)"
Solid Waste Management Services,SW-Residual Management,Perpetual Care,Transfers From Capital,920A,Revenues,"(2,313,207)"
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Garbage (C&T),Inter-Divisional Recoveries,750A,Revenues,"(1,337,659)"
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Garbage (C&T),Sundry and Other Revenues,940A,Revenues,"(3,052,460)"
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Garbage (C&T),User Fees & Donations,850A,Revenues,"(258,464,418)"
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Leaf & Yard Waste (C&T),Sundry and Other Revenues,940A,Revenues,"(34,362)"
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Leaf & Yard Waste (C&T),User Fees & Donations,850A,Revenues,"(220,029)"
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Recyclables (C&T),Inter-Divisional Recoveries,750A,Revenues,"(38,004)"
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Recyclables (C&T),Provincial Subsidies,805A,Revenues,"(11,121,600)"
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Durable Goods (P&T),Sundry and Other Revenues,940A,Revenues,"(722,437)"
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Garbage (P&T),Inter-Divisional Recoveries,750A,Revenues,"(2,030,254)"
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Garbage (P&T),Provincial Subsidies,805A,Revenues,"(6,729)"
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Garbage (P&T),Transfers From Capital,920A,Revenues,"(465,500)"
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Garbage (P&T),User Fees & Donations,850A,Revenues,"(8,449,500)"
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Green Bin (P&T),Transfers From Capital,920A,Revenues,"(123,500)"
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Leaf & Yard Waste (P&T),Inter-Divisional Recoveries,750A,Revenues,"(100,473)"
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Leaf & Yard Waste (P&T),Provincial Subsidies,805A,Revenues,"(1,441)"
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Leaf & Yard Waste (P&T),Transfers From Capital,920A,Revenues,"(85,500)"
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Leaf & Yard Waste (P&T),User Fees & Donations,850A,Revenues,"(313,372)"
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Municipal Hazardous & Special Waste (P&T),Provincial Subsidies,805A,Revenues,"(1,006,621)"
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Municipal Hazardous & Special Waste (P&T),Sundry and Other Revenues,940A,Revenues,"(462,187)"
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Municipal Hazardous & Special Waste (P&T),Transfers From Capital,920A,Revenues,"(70,000)"
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Resales of Recyclables (P&T),Inter-Divisional Recoveries,750A,Revenues,"(103,020)"
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Resales of Recyclables (P&T),Provincial Subsidies,805A,Revenues,"(9,879,012)"
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Resales of Recyclables (P&T),Sundry and Other Revenues,940A,Revenues,"(23,061,797)"
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Resales of Recyclables (P&T),Transfers From Capital,920A,Revenues,"(199,500)"
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Resales of Recyclables (P&T),User Fees & Donations,850A,Revenues,"(311,859)"
Theatres,Theatrical & Other Cultural Events,Theatrical & Other Cultural Events,Contribution From Reserves/Reserve Funds,930A,Revenues,"(2,062,340)"
Theatres,Theatrical & Other Cultural Events,Theatrical & Other Cultural Events,Sundry and Other Revenues,940A,Revenues,"(3,088,390)"
Theatres,Theatrical & Other Cultural Events,Theatrical & Other Cultural Events,User Fees & Donations,850A,Revenues,"(12,827,713)"
Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,Contribution From Reserves/Reserve Funds,930A,Revenues,"(4,598,000)"
Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,Provincial Subsidies,805A,Revenues,"(1,835,000)"
Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,Sundry and Other Revenues,940A,Revenues,"(5,231,000)"
Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,User Fees & Donations,850A,Revenues,"(24,799,000)"
Toronto Atmospheric Fund,Toronto Atmospheric Fund,Toronto Atmospheric Fund,Sundry and Other Revenues,940A,Revenues,"(1,925,000)"
Toronto Atmospheric Fund,Toronto Atmospheric Fund,Toronto Atmospheric Fund,User Fees & Donations,850A,Revenues,"(650,000)"
Toronto Building,BL-Building Compliance,Building Inspections,Inter-Divisional Recoveries,750A,Revenues,"(337,203)"
Toronto Building,BL-Building Compliance,Building Inspections,Licences & Permits Revenue,860A,Revenues,"(21,233,082)"
Toronto Building,BL-Building Compliance,Building Inspections,Sundry and Other Revenues,940A,Revenues,"(14,600)"
Toronto Building,BL-Building Compliance,Building Inspections,Transfers From Capital,920A,Revenues,"(162,721)"
Toronto Building,BL-Building Compliance,Building Inspections,User Fees & Donations,850A,Revenues,"(594,567)"
Toronto Building,BL-Building Compliance,Building Investigations,Inter-Divisional Recoveries,750A,Revenues,"(68,365)"
Toronto Building,BL-Building Compliance,Building Investigations,Licences & Permits Revenue,860A,Revenues,"(4,304,788)"
Toronto Building,BL-Building Compliance,Building Investigations,Sundry and Other Revenues,940A,Revenues,"(2,960)"
Toronto Building,BL-Building Compliance,Building Investigations,Transfers From Capital,920A,Revenues,"(27,921)"
Toronto Building,BL-Building Compliance,Building Investigations,User Fees & Donations,850A,Revenues,"(120,542)"
Toronto Building,BL-Building Compliance,Sign Tax Billing & Collection,Inter-Divisional Recoveries,750A,Revenues,"(7,391)"
Toronto Building,BL-Building Compliance,Sign Tax Billing & Collection,Licences & Permits Revenue,860A,Revenues,"(465,382)"
Toronto Building,BL-Building Compliance,Sign Tax Billing & Collection,Sundry and Other Revenues,940A,Revenues,(320)
Toronto Building,BL-Building Compliance,Sign Tax Billing & Collection,Transfers From Capital,920A,Revenues,"(2,384)"
Toronto Building,BL-Building Compliance,Sign Tax Billing & Collection,User Fees & Donations,850A,Revenues,"(13,032)"
Toronto Building,BL-Building Permission & Information,Building Information,Inter-Divisional Recoveries,750A,Revenues,"(101,623)"
Toronto Building,BL-Building Permission & Information,Building Information,Licences & Permits Revenue,860A,Revenues,"(6,399,012)"
Toronto Building,BL-Building Permission & Information,Building Information,Sundry and Other Revenues,940A,Revenues,"(4,400)"
Toronto Building,BL-Building Permission & Information,Building Information,Transfers From Capital,920A,Revenues,"(49,453)"
Toronto Building,BL-Building Permission & Information,Building Information,User Fees & Donations,850A,Revenues,"(179,185)"
Toronto Building,BL-Building Permission & Information,Building Permits,Inter-Divisional Recoveries,750A,Revenues,"(330,736)"
Toronto Building,BL-Building Permission & Information,Building Permits,Licences & Permits Revenue,860A,Revenues,"(20,825,871)"
Toronto Building,BL-Building Permission & Information,Building Permits,Sundry and Other Revenues,940A,Revenues,"(14,320)"
Toronto Building,BL-Building Permission & Information,Building Permits,Transfers From Capital,920A,Revenues,"(153,682)"
Toronto Building,BL-Building Permission & Information,Building Permits,User Fees & Donations,850A,Revenues,"(583,164)"
Toronto Building,BL-Building Permission & Information,Preliminary Review,Inter-Divisional Recoveries,750A,Revenues,"(78,527)"
Toronto Building,BL-Building Permission & Information,Preliminary Review,Licences & Permits Revenue,860A,Revenues,"(4,944,690)"
Toronto Building,BL-Building Permission & Information,Preliminary Review,Sundry and Other Revenues,940A,Revenues,"(3,400)"
Toronto Building,BL-Building Permission & Information,Preliminary Review,Transfers From Capital,920A,Revenues,"(38,103)"
Toronto Building,BL-Building Permission & Information,Preliminary Review,User Fees & Donations,850A,Revenues,"(138,461)"
Toronto Employment & Social Services,SS-Employment Services,Develop and implement integrated employment strategies,Inter-Divisional Recoveries,750A,Revenues,"(5,422)"
Toronto Employment & Social Services,SS-Employment Services,Develop and implement integrated employment strategies,Provincial Subsidies,805A,Revenues,"(2,523,400)"
Toronto Employment & Social Services,SS-Employment Services,Plan and manage employment and career services,Contribution From Reserves/Reserve Funds,930A,Revenues,"(1,349,250)"
Toronto Employment & Social Services,SS-Employment Services,Plan and manage employment and career services,Inter-Divisional Recoveries,750A,Revenues,"(60,382)"
Toronto Employment & Social Services,SS-Employment Services,Plan and manage employment and career services,Provincial Subsidies,805A,Revenues,"(48,375,792)"
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration,Contribution From Reserves/Reserve Funds,930A,Revenues,"(13,224,031)"
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration,Inter-Divisional Recoveries,750A,Revenues,"(50,035)"
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration,Other Subsidies,820A,Revenues,"(6,799,500)"
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration,Provincial Subsidies,805A,Revenues,"(784,777,885)"
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration,Sundry and Other Revenues,940A,Revenues,"(17,800,000)"
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Eligibility determination and case management,Contribution From Reserves/Reserve Funds,930A,Revenues,"(266,875)"
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Eligibility determination and case management,Inter-Divisional Recoveries,750A,Revenues,"(107,618)"
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Eligibility determination and case management,Provincial Subsidies,805A,Revenues,"(26,861,425)"
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Provide Individualized Employment Service Planning,Contribution From Reserves/Reserve Funds,930A,Revenues,"(392,875)"
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Provide Individualized Employment Service Planning,Inter-Divisional Recoveries,750A,Revenues,"(130,899)"
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Provide Individualized Employment Service Planning,Provincial Subsidies,805A,Revenues,"(54,098,260)"
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,Inter-Divisional Recoveries,750A,Revenues,"(416,244)"
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,Provincial Subsidies,805A,Revenues,"(605,547)"
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,Sundry and Other Revenues,940A,Revenues,"(1,045)"
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,Transfers From Capital,920A,Revenues,(900)
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,User Fees & Donations,850A,Revenues,"(470,953)"
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,Inter-Divisional Recoveries,750A,Revenues,(540)
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,Provincial Subsidies,805A,Revenues,"(1,000,542)"
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,Sundry and Other Revenues,940A,Revenues,"(3,397)"
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,Transfers From Capital,920A,Revenues,(225)
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,User Fees & Donations,850A,Revenues,(89)
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,Inter-Divisional Recoveries,750A,Revenues,"(3,962)"
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,Provincial Subsidies,805A,Revenues,"(3,506,809)"
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,Sundry and Other Revenues,940A,Revenues,"(6,343)"
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,Transfers From Capital,920A,Revenues,"(1,650)"
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,User Fees & Donations,850A,Revenues,"(6,065)"
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,Inter-Divisional Recoveries,750A,Revenues,"(471,791)"
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,Provincial Subsidies,805A,Revenues,"(86,333,216)"
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,Sundry and Other Revenues,940A,Revenues,"(567,063)"
