Program,Service,Activity,Category,Category Name,Expense/Revenue,Sum - 2016
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,930A,Contribution From Reserves/Reserve Funds,Revenues,"81,520"
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,940A,Sundry and Other Revenues,Revenues,"(930,160)"
"Parks, Forestry & Recreation",PR-Parks,Ravines & Watercourses,750A,Inter-Divisional Recoveries,Revenues,"(232,600)"
"Parks, Forestry & Recreation",PR-Parks,Ravines & Watercourses,940A,Sundry and Other Revenues,Revenues,"(3,488)"
"Parks, Forestry & Recreation",PR-Parks,Toronto Island Ferry Operations,750A,Inter-Divisional Recoveries,Revenues,"(44,550)"
"Parks, Forestry & Recreation",PR-Parks,Toronto Island Ferry Operations,850A,User Fees & Donations,Revenues,"(7,434,021)"
"Parks, Forestry & Recreation",PR-Parks,Zoo & Farm Attractions,860A,Licences & Permits Revenue,Revenues,"(28,517)"
"Parks, Forestry & Recreation",PR-Parks,Zoo & Farm Attractions,940A,Sundry and Other Revenues,Revenues,"(32,832)"
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,750A,Inter-Divisional Recoveries,Revenues,"(37,500)"
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,810A,Federal Subsidies,Revenues,"(3,500,000)"
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,930A,Contribution From Reserves/Reserve Funds,Revenues,"(13,182,087)"
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,940A,Sundry and Other Revenues,Revenues,"(1,753,127)"
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,750A,Inter-Divisional Recoveries,Revenues,"(1,962,500)"
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,850A,User Fees & Donations,Revenues,"(600,000)"
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,930A,Contribution From Reserves/Reserve Funds,Revenues,"(797,242)"
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,940A,Sundry and Other Revenues,Revenues,"(4,511,128)"
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Protection,850A,User Fees & Donations,Revenues,"(3,209,634)"
"Parks, Forestry & Recreation",PR-Urban Forestry,Urban Forestry Planning & Development,850A,User Fees & Donations,Revenues,"(1,747)"
"Parks, Forestry & Recreation",PR-Urban Forestry,Urban Forestry Planning & Development,920A,Transfers From Capital,Revenues,"(1,447,203)"
"Parks, Forestry & Recreation",PR-Urban Forestry,Urban Forestry Planning & Development,930A,Contribution From Reserves/Reserve Funds,Revenues,0
"Policy, Planning, Finance & Administration",Organizational Effectiveness,Organizational Effectiveness,750A,Inter-Divisional Recoveries,Revenues,"(1,191,161)"
"Policy, Planning, Finance & Administration",Organizational Effectiveness,Organizational Effectiveness,940A,Sundry and Other Revenues,Revenues,"(222,040)"
"Policy, Planning, Finance & Administration",PA-Emergency Management,Emergency Management Program Development & Response,805A,Provincial Subsidies,Revenues,"(225,000)"
"Policy, Planning, Finance & Administration",PA-Emergency Management,Emergency Management Program Development & Response,930A,Contribution From Reserves/Reserve Funds,Revenues,(875)
"Policy, Planning, Finance & Administration",PA-Emergency Management,Emergency Management Program Development & Response,940A,Sundry and Other Revenues,Revenues,"(9,125)"
"Policy, Planning, Finance & Administration",PA-Financial Management,Budget Planning & coordination,750A,Inter-Divisional Recoveries,Revenues,"(946,687)"
"Policy, Planning, Finance & Administration",PA-Financial Management,Financial Transaction & Payment Processing,750A,Inter-Divisional Recoveries,Revenues,"(3,087,023)"
"Policy, Planning, Finance & Administration",PA-Program Support,Complement Management & Reporting,750A,Inter-Divisional Recoveries,Revenues,"(205,802)"
"Policy, Planning, Finance & Administration",PA-Program Support,Complement Management & Reporting,920A,Transfers From Capital,Revenues,"(114,615)"
"Policy, Planning, Finance & Administration",PA-Program Support,General Administration,750A,Inter-Divisional Recoveries,Revenues,"(1,029,008)"
"Policy, Planning, Finance & Administration",PA-Program Support,General Administration,920A,Transfers From Capital,Revenues,"(573,076)"
"Policy, Planning, Finance & Administration",PA-Program Support,Public Consultation,750A,Inter-Divisional Recoveries,Revenues,"(1,234,809)"
"Policy, Planning, Finance & Administration",PA-Program Support,Public Consultation,920A,Transfers From Capital,Revenues,"(687,691)"
"Policy, Planning, Finance & Administration",PA-Program Support,Public Consultation,940A,Sundry and Other Revenues,Revenues,"(103,781)"
"Policy, Planning, Finance & Administration",PA-Program Support,Time & Attendance Data Entry & Reporting,750A,Inter-Divisional Recoveries,Revenues,"(1,646,412)"
"Policy, Planning, Finance & Administration",PA-Program Support,Time & Attendance Data Entry & Reporting,920A,Transfers From Capital,Revenues,"(916,922)"
Property Tax,Property Tax,Property Tax,940A,Property Tax,Revenues,"(3,954,268,271)"
Property Tax,Special Levy for Scarborough Subway (Reserve Contribution),Special Levy for Scarborough Subway (Reserve Contribution),940A,Special Levy for Scarborough Subway (Reserve Contribution),Revenues,"(40,686,000)"
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,750A,Inter-Divisional Recoveries,Revenues,"(3,769)"
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,805A,Provincial Subsidies,Revenues,"(18,688,217)"
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,810A,Federal Subsidies,Revenues,"(17,296,389)"
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,920A,Transfers From Capital,Revenues,"(43,042)"
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,940A,Sundry and Other Revenues,Revenues,"181,510"
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,750A,Inter-Divisional Recoveries,Revenues,"(3,769)"
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,805A,Provincial Subsidies,Revenues,"(73,856,071)"
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,920A,Transfers From Capital,Revenues,"(43,042)"
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,930A,Contribution From Reserves/Reserve Funds,Revenues,"(3,790)"
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,940A,Sundry and Other Revenues,Revenues,"(128,483)"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,750A,Inter-Divisional Recoveries,Revenues,"(1,238)"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,805A,Provincial Subsidies,Revenues,"(36,621,010)"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,920A,Transfers From Capital,Revenues,"(14,133)"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,930A,Contribution From Reserves/Reserve Funds,Revenues,"(9,851,000)"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,940A,Sundry and Other Revenues,Revenues,"(30,024)"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,750A,Inter-Divisional Recoveries,Revenues,"(1,238)"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,805A,Provincial Subsidies,Revenues,"(21,109,770)"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,810A,Federal Subsidies,Revenues,"(28,769,182)"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,820A,Other Subsidies,Revenues,"(16,710,555)"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,920A,Transfers From Capital,Revenues,"(14,133)"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,930A,Contribution From Reserves/Reserve Funds,Revenues,"(338,484)"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,940A,Sundry and Other Revenues,Revenues,"(30,024)"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,750A,Inter-Divisional Recoveries,Revenues,"(1,238)"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,805A,Provincial Subsidies,Revenues,"(5,644,656)"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,810A,Federal Subsidies,Revenues,"(102,309,828)"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,820A,Other Subsidies,Revenues,"16,710,555"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,920A,Transfers From Capital,Revenues,"(14,133)"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,930A,Contribution From Reserves/Reserve Funds,Revenues,"(859,716)"
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,940A,Sundry and Other Revenues,Revenues,"(30,024)"
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Engagement,805A,Provincial Subsidies,Revenues,"(185,502)"
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Engagement,930A,Contribution From Reserves/Reserve Funds,Revenues,"(22,500)"
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Funding Delivery,750A,Inter-Divisional Recoveries,Revenues,"(125,000)"
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Funding Delivery,805A,Provincial Subsidies,Revenues,"(3,571,796)"
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Funding Delivery,930A,Contribution From Reserves/Reserve Funds,Revenues,"(400,000)"
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Safety,750A,Inter-Divisional Recoveries,Revenues,"(228,600)"
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Safety,805A,Provincial Subsidies,Revenues,"(230,965)"
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Tower & Neighbourhood Revitalization,750A,Inter-Divisional Recoveries,Revenues,"(150,000)"
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Tower & Neighbourhood Revitalization,805A,Provincial Subsidies,Revenues,"(292,290)"
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Tower & Neighbourhood Revitalization,930A,Contribution From Reserves/Reserve Funds,Revenues,"(10,055,000)"
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Youth Development,750A,Inter-Divisional Recoveries,Revenues,"(217,250)"
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Youth Development,805A,Provincial Subsidies,Revenues,"(40,598)"
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Youth Development,810A,Federal Subsidies,Revenues,"(1,630,252)"
"Social Development, Finance & Administration",CD-Community Partnership Investment Program,Investment Funding,930A,Contribution From Reserves/Reserve Funds,Revenues,"(442,500)"
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Financial Management & Reporting,805A,Provincial Subsidies,Revenues,"(238,088)"
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Financial Planning & Coordination,805A,Provincial Subsidies,Revenues,"(55,834)"
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Program Support,805A,Provincial Subsidies,Revenues,"(88,149)"
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Revenue & Cash Management,805A,Provincial Subsidies,Revenues,"(940,318)"
"Social Development, Finance & Administration",CD-Social Policy & Planning,Human Services System Planning,805A,Provincial Subsidies,Revenues,"(276,969)"
"Social Development, Finance & Administration",CD-Social Policy & Planning,Human Services System Planning,810A,Federal Subsidies,Revenues,"(420,200)"
"Social Development, Finance & Administration",CD-Social Policy & Planning,Human Services System Planning,930A,Contribution From Reserves/Reserve Funds,Revenues,"(577,500)"
"Social Development, Finance & Administration",CD-Social Policy & Planning,Social Policy & Analysis,805A,Provincial Subsidies,Revenues,"(164,822)"
"Social Development, Finance & Administration",CD-Social Policy & Planning,Social Research & Evaluation,805A,Provincial Subsidies,Revenues,"(189,721)"
"Social Development, Finance & Administration",CD-Toronto Office of Partnerships,Revenue Generation and Management,940A,Sundry and Other Revenues,Revenues,"(108,149)"
"Social Development, Finance & Administration",Corporate Leadership (DCM),Corporate Leadership (DCM),805A,Provincial Subsidies,Revenues,"(90,018)"
Solid Waste Management Services,SW-City Beautification,Street Litter Bins,750A,Inter-Divisional Recoveries,Revenues,"(1,354,830)"
Solid Waste Management Services,SW-Residual Management,Energy Generation,920A,Transfers From Capital,Revenues,"(510,301)"
Solid Waste Management Services,SW-Residual Management,Energy Generation,940A,Sundry and Other Revenues,Revenues,"(750,000)"
Solid Waste Management Services,SW-Residual Management,Green Lane Landfill Site,750A,Inter-Divisional Recoveries,Revenues,"(989,315)"
Solid Waste Management Services,SW-Residual Management,Green Lane Landfill Site,850A,User Fees & Donations,Revenues,"(2,141,321)"
Solid Waste Management Services,SW-Residual Management,Green Lane Landfill Site,940A,Sundry and Other Revenues,Revenues,"(43,279,633)"
Solid Waste Management Services,SW-Residual Management,Perpetual Care,850A,User Fees & Donations,Revenues,"(103,000)"
Solid Waste Management Services,SW-Residual Management,Perpetual Care,920A,Transfers From Capital,Revenues,"(2,294,634)"
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Garbage (C&T),750A,Inter-Divisional Recoveries,Revenues,"(50,645)"
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Garbage (C&T),850A,User Fees & Donations,Revenues,"(270,331,329)"
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Garbage (C&T),920A,Transfers From Capital,Revenues,"(653,230)"
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Garbage (C&T),940A,Sundry and Other Revenues,Revenues,"(4,024,343)"
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Leaf & Yard Waste (C&T),850A,User Fees & Donations,Revenues,"(615,145)"
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Leaf & Yard Waste (C&T),920A,Transfers From Capital,Revenues,"(33,125)"
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Leaf & Yard Waste (C&T),940A,Sundry and Other Revenues,Revenues,"(51,786)"
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Recyclables (C&T),750A,Inter-Divisional Recoveries,Revenues,"(38,004)"
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Recyclables (C&T),805A,Provincial Subsidies,Revenues,"(10,856,800)"
Solid Waste Management Services,SW-Solid Waste Education & Enforcement,Environment Days,940A,Sundry and Other Revenues,Revenues,(999)
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Durable Goods (P&T),940A,Sundry and Other Revenues,Revenues,"(1,121,436)"
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Garbage (P&T),750A,Inter-Divisional Recoveries,Revenues,"(2,698,278)"
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Garbage (P&T),805A,Provincial Subsidies,Revenues,"(4,646)"
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Garbage (P&T),850A,User Fees & Donations,Revenues,"(9,199,348)"
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Garbage (P&T),920A,Transfers From Capital,Revenues,"(454,861)"
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Garbage (P&T),940A,Sundry and Other Revenues,Revenues,"(572,012)"
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Green Bin (P&T),920A,Transfers From Capital,Revenues,"(120,677)"
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Leaf & Yard Waste (P&T),750A,Inter-Divisional Recoveries,Revenues,"(135,283)"
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Leaf & Yard Waste (P&T),805A,Provincial Subsidies,Revenues,"(3,872)"
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Leaf & Yard Waste (P&T),850A,User Fees & Donations,Revenues,"(391,617)"
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Leaf & Yard Waste (P&T),920A,Transfers From Capital,Revenues,"(83,546)"
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Leaf & Yard Waste (P&T),940A,Sundry and Other Revenues,Revenues,"(18,858)"
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Municipal Hazardous & Special Waste (P&T),805A,Provincial Subsidies,Revenues,"(1,155,414)"
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Municipal Hazardous & Special Waste (P&T),920A,Transfers From Capital,Revenues,"(510,301)"
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Municipal Hazardous & Special Waste (P&T),940A,Sundry and Other Revenues,Revenues,"(310,637)"
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Resales of Recyclables (P&T),750A,Inter-Divisional Recoveries,Revenues,"(129,852)"
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Resales of Recyclables (P&T),805A,Provincial Subsidies,Revenues,"(9,644,362)"
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Resales of Recyclables (P&T),850A,User Fees & Donations,Revenues,"(344,447)"
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Resales of Recyclables (P&T),920A,Transfers From Capital,Revenues,"(194,940)"
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Resales of Recyclables (P&T),940A,Sundry and Other Revenues,Revenues,"(23,836,624)"
Theatres,Theatrical & Other Cultural Events,Theatrical & Other Cultural Events,850A,User Fees & Donations,Revenues,"(12,182,214)"
Theatres,Theatrical & Other Cultural Events,Theatrical & Other Cultural Events,930A,Contribution From Reserves/Reserve Funds,Revenues,"(2,370,893)"
Theatres,Theatrical & Other Cultural Events,Theatrical & Other Cultural Events,940A,Sundry and Other Revenues,Revenues,"(3,073,679)"
Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,805A,Provincial Subsidies,Revenues,"(1,835,000)"
Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,850A,User Fees & Donations,Revenues,"(24,702,000)"
Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,930A,Contribution From Reserves/Reserve Funds,Revenues,"(4,713,000)"
Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,940A,Sundry and Other Revenues,Revenues,"(5,362,000)"
Toronto Atmospheric Fund,Toronto Atmospheric Fund,Toronto Atmospheric Fund,850A,User Fees & Donations,Revenues,"(650,000)"
Toronto Atmospheric Fund,Toronto Atmospheric Fund,Toronto Atmospheric Fund,940A,Sundry and Other Revenues,Revenues,"(1,925,000)"
Toronto Building,BL-Building Compliance,Building Inspections,750A,Inter-Divisional Recoveries,Revenues,"(407,359)"
Toronto Building,BL-Building Compliance,Building Inspections,850A,User Fees & Donations,Revenues,"(594,566)"
Toronto Building,BL-Building Compliance,Building Inspections,860A,Licences & Permits Revenue,Revenues,"(22,587,639)"
Toronto Building,BL-Building Compliance,Building Inspections,920A,Transfers From Capital,Revenues,"(162,721)"
Toronto Building,BL-Building Compliance,Building Inspections,930A,Contribution From Reserves/Reserve Funds,Revenues,"(189,994)"
Toronto Building,BL-Building Compliance,Building Inspections,940A,Sundry and Other Revenues,Revenues,"(14,600)"
Toronto Building,BL-Building Compliance,Building Investigations,750A,Inter-Divisional Recoveries,Revenues,"(82,588)"
Toronto Building,BL-Building Compliance,Building Investigations,850A,User Fees & Donations,Revenues,"(120,542)"
Toronto Building,BL-Building Compliance,Building Investigations,860A,Licences & Permits Revenue,Revenues,"(4,488,177)"
Toronto Building,BL-Building Compliance,Building Investigations,920A,Transfers From Capital,Revenues,"(27,921)"
Toronto Building,BL-Building Compliance,Building Investigations,930A,Contribution From Reserves/Reserve Funds,Revenues,"(8,108)"
Toronto Building,BL-Building Compliance,Building Investigations,940A,Sundry and Other Revenues,Revenues,"(2,960)"
Toronto Building,BL-Building Compliance,Sign Tax Billing & Collection,750A,Inter-Divisional Recoveries,Revenues,"(8,928)"
Toronto Building,BL-Building Compliance,Sign Tax Billing & Collection,850A,User Fees & Donations,Revenues,"(13,032)"
Toronto Building,BL-Building Compliance,Sign Tax Billing & Collection,860A,Licences & Permits Revenue,Revenues,"(485,209)"
Toronto Building,BL-Building Compliance,Sign Tax Billing & Collection,920A,Transfers From Capital,Revenues,"(2,384)"
Toronto Building,BL-Building Compliance,Sign Tax Billing & Collection,930A,Contribution From Reserves/Reserve Funds,Revenues,(877)
Toronto Building,BL-Building Compliance,Sign Tax Billing & Collection,940A,Sundry and Other Revenues,Revenues,(319)
Toronto Building,BL-Building Permission & Information,Building Information,750A,Inter-Divisional Recoveries,Revenues,"(122,766)"
Toronto Building,BL-Building Permission & Information,Building Information,850A,User Fees & Donations,Revenues,"(179,185)"
Toronto Building,BL-Building Permission & Information,Building Information,860A,Licences & Permits Revenue,Revenues,"(6,671,619)"
Toronto Building,BL-Building Permission & Information,Building Information,920A,Transfers From Capital,Revenues,"(49,453)"
Toronto Building,BL-Building Permission & Information,Building Information,930A,Contribution From Reserves/Reserve Funds,Revenues,"(12,053)"
Toronto Building,BL-Building Permission & Information,Building Information,940A,Sundry and Other Revenues,Revenues,"(4,400)"
Toronto Building,BL-Building Permission & Information,Building Permits,750A,Inter-Divisional Recoveries,Revenues,"(399,547)"
Toronto Building,BL-Building Permission & Information,Building Permits,850A,User Fees & Donations,Revenues,"(583,164)"
Toronto Building,BL-Building Permission & Information,Building Permits,860A,Licences & Permits Revenue,Revenues,"(21,713,079)"
Toronto Building,BL-Building Permission & Information,Building Permits,920A,Transfers From Capital,Revenues,"(153,682)"
Toronto Building,BL-Building Permission & Information,Building Permits,930A,Contribution From Reserves/Reserve Funds,Revenues,"(39,227)"
Toronto Building,BL-Building Permission & Information,Building Permits,940A,Sundry and Other Revenues,Revenues,"(14,320)"
Toronto Building,BL-Building Permission & Information,Preliminary Review,750A,Inter-Divisional Recoveries,Revenues,"(94,864)"
Toronto Building,BL-Building Permission & Information,Preliminary Review,850A,User Fees & Donations,Revenues,"(138,461)"
Toronto Building,BL-Building Permission & Information,Preliminary Review,860A,Licences & Permits Revenue,Revenues,"(5,155,339)"
Toronto Building,BL-Building Permission & Information,Preliminary Review,920A,Transfers From Capital,Revenues,"(38,103)"
Toronto Building,BL-Building Permission & Information,Preliminary Review,930A,Contribution From Reserves/Reserve Funds,Revenues,"(9,314)"
Toronto Building,BL-Building Permission & Information,Preliminary Review,940A,Sundry and Other Revenues,Revenues,"(3,400)"
Toronto Employment & Social Services,SS-Employment Services,Develop and implement integrated employment strategies,750A,Inter-Divisional Recoveries,Revenues,"(4,766)"
Toronto Employment & Social Services,SS-Employment Services,Develop and implement integrated employment strategies,805A,Provincial Subsidies,Revenues,"(1,283,604)"
Toronto Employment & Social Services,SS-Employment Services,Develop and implement integrated employment strategies,930A,Contribution From Reserves/Reserve Funds,Revenues,"(7,127)"
Toronto Employment & Social Services,SS-Employment Services,Plan and manage employment and career services,750A,Inter-Divisional Recoveries,Revenues,"(62,100)"
Toronto Employment & Social Services,SS-Employment Services,Plan and manage employment and career services,805A,Provincial Subsidies,Revenues,"(49,148,636)"
Toronto Employment & Social Services,SS-Employment Services,Plan and manage employment and career services,930A,Contribution From Reserves/Reserve Funds,Revenues,"(1,661,597)"
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration,750A,Inter-Divisional Recoveries,Revenues,"(39,792)"
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration,805A,Provincial Subsidies,Revenues,"(794,945,127)"
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration,930A,Contribution From Reserves/Reserve Funds,Revenues,"(12,862,092)"
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration,940A,Sundry and Other Revenues,Revenues,"(17,800,000)"
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Eligibility determination and case management,750A,Inter-Divisional Recoveries,Revenues,"(126,906)"
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Eligibility determination and case management,805A,Provincial Subsidies,Revenues,"(24,044,000)"
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Eligibility determination and case management,930A,Contribution From Reserves/Reserve Funds,Revenues,"(1,542,697)"
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Provide Individualized Employment Service Planning,750A,Inter-Divisional Recoveries,Revenues,"(162,822)"
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Provide Individualized Employment Service Planning,805A,Provincial Subsidies,Revenues,"(56,375,487)"
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Provide Individualized Employment Service Planning,930A,Contribution From Reserves/Reserve Funds,Revenues,"(3,069,806)"
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,750A,Inter-Divisional Recoveries,Revenues,"(402,876)"
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,805A,Provincial Subsidies,Revenues,"(573,975)"
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,850A,User Fees & Donations,Revenues,"(507,431)"
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,920A,Transfers From Capital,Revenues,(900)
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,940A,Sundry and Other Revenues,Revenues,"(15,045)"
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,750A,Inter-Divisional Recoveries,Revenues,(583)
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,805A,Provincial Subsidies,Revenues,"(322,712)"
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,850A,User Fees & Donations,Revenues,(106)
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,920A,Transfers From Capital,Revenues,(225)
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,940A,Sundry and Other Revenues,Revenues,"(3,397)"
Toronto Paramedic Services,AM-Emergency Medical Care,AM-City Emergency & Major Event Mass Casualty Care,750A,Inter-Divisional Recoveries,Revenues,"(1,748)"
Toronto Paramedic Services,AM-Emergency Medical Care,AM-City Emergency & Major Event Mass Casualty Care,805A,Provincial Subsidies,Revenues,"(1,016,258)"
Toronto Paramedic Services,AM-Emergency Medical Care,AM-City Emergency & Major Event Mass Casualty Care,850A,User Fees & Donations,Revenues,"(615,477)"
Toronto Paramedic Services,AM-Emergency Medical Care,AM-City Emergency & Major Event Mass Casualty Care,920A,Transfers From Capital,Revenues,(675)
Toronto Paramedic Services,AM-Emergency Medical Care,AM-City Emergency & Major Event Mass Casualty Care,940A,Sundry and Other Revenues,Revenues,"(48,982)"
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,750A,Inter-Divisional Recoveries,Revenues,"(4,274)"
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,805A,Provincial Subsidies,Revenues,"(3,340,188)"
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,850A,User Fees & Donations,Revenues,"(6,329)"
