311 Toronto,311 Service Delivery,311 Service Delivery,750A,Inter-Divisional Recoveries,Revenues,5693589
Property Tax,Special Levy for Scarborough Subway (Reserve Contribution),Special Levy for Scarborough Subway (Reserve Contribution),940A,Special Levy for Scarborough Subway (Reserve Contribution),Revenues,40686000
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,750A,Inter-Divisional Recoveries,Revenues,3769
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,805A,Provincial Subsidies,Revenues,18688217
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,810A,Federal Subsidies,Revenues,17296389
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,920A,Transfers From Capital,Revenues,43042
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,940A,Sundry and Other Revenues,Revenues,-181510
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,750A,Inter-Divisional Recoveries,Revenues,3769
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,805A,Provincial Subsidies,Revenues,73856071
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,920A,Transfers From Capital,Revenues,43042
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,930A,Contribution From Reserves/Reserve Funds,Revenues,3790
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,940A,Sundry and Other Revenues,Revenues,128483
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,750A,Inter-Divisional Recoveries,Revenues,1238
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,805A,Provincial Subsidies,Revenues,36621010
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,920A,Transfers From Capital,Revenues,14133
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,930A,Contribution From Reserves/Reserve Funds,Revenues,9851000
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,940A,Sundry and Other Revenues,Revenues,30024
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,750A,Inter-Divisional Recoveries,Revenues,1238
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,805A,Provincial Subsidies,Revenues,21109770
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,810A,Federal Subsidies,Revenues,28769182
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,820A,Other Subsidies,Revenues,16710555
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,920A,Transfers From Capital,Revenues,14133
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,930A,Contribution From Reserves/Reserve Funds,Revenues,338484
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,940A,Sundry and Other Revenues,Revenues,30024
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,750A,Inter-Divisional Recoveries,Revenues,1238
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,805A,Provincial Subsidies,Revenues,5644656
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,810A,Federal Subsidies,Revenues,102309828
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,820A,Other Subsidies,Revenues,-16710555
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,920A,Transfers From Capital,Revenues,14133
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,930A,Contribution From Reserves/Reserve Funds,Revenues,859716
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,940A,Sundry and Other Revenues,Revenues,30024
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Engagement,805A,Provincial Subsidies,Revenues,185502
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Engagement,930A,Contribution From Reserves/Reserve Funds,Revenues,22500
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Funding Delivery,750A,Inter-Divisional Recoveries,Revenues,125000
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Funding Delivery,805A,Provincial Subsidies,Revenues,3571796
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Funding Delivery,930A,Contribution From Reserves/Reserve Funds,Revenues,400000
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Safety,750A,Inter-Divisional Recoveries,Revenues,228600
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Safety,805A,Provincial Subsidies,Revenues,230965
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Tower & Neighbourhood Revitalization,750A,Inter-Divisional Recoveries,Revenues,150000
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Tower & Neighbourhood Revitalization,805A,Provincial Subsidies,Revenues,292290
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Tower & Neighbourhood Revitalization,930A,Contribution From Reserves/Reserve Funds,Revenues,10055000
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Youth Development,750A,Inter-Divisional Recoveries,Revenues,217250
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Youth Development,805A,Provincial Subsidies,Revenues,40598
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Youth Development,810A,Federal Subsidies,Revenues,1630252
"Social Development, Finance & Administration",CD-Community Partnership Investment Program,Investment Funding,930A,Contribution From Reserves/Reserve Funds,Revenues,442500
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Financial Management & Reporting,805A,Provincial Subsidies,Revenues,238088
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Financial Planning & Coordination,805A,Provincial Subsidies,Revenues,55834
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Program Support,805A,Provincial Subsidies,Revenues,88149
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Revenue & Cash Management,805A,Provincial Subsidies,Revenues,940318
"Social Development, Finance & Administration",CD-Social Policy & Planning,Human Services System Planning,805A,Provincial Subsidies,Revenues,276969
"Social Development, Finance & Administration",CD-Social Policy & Planning,Human Services System Planning,810A,Federal Subsidies,Revenues,420200
"Social Development, Finance & Administration",CD-Social Policy & Planning,Human Services System Planning,930A,Contribution From Reserves/Reserve Funds,Revenues,577500
"Social Development, Finance & Administration",CD-Social Policy & Planning,Social Policy & Analysis,805A,Provincial Subsidies,Revenues,164822
"Social Development, Finance & Administration",CD-Social Policy & Planning,Social Research & Evaluation,805A,Provincial Subsidies,Revenues,189721
"Social Development, Finance & Administration",CD-Toronto Office of Partnerships,Revenue Generation and Management,940A,Sundry and Other Revenues,Revenues,108149
"Social Development, Finance & Administration",Corporate Leadership (DCM),Corporate Leadership (DCM),805A,Provincial Subsidies,Revenues,90018
Solid Waste Management Services,SW-City Beautification,Street Litter Bins,750A,Inter-Divisional Recoveries,Revenues,1354830
Solid Waste Management Services,SW-Residual Management,Energy Generation,920A,Transfers From Capital,Revenues,510301
Solid Waste Management Services,SW-Residual Management,Energy Generation,940A,Sundry and Other Revenues,Revenues,750000
Solid Waste Management Services,SW-Residual Management,Green Lane Landfill Site,750A,Inter-Divisional Recoveries,Revenues,989315
Solid Waste Management Services,SW-Residual Management,Green Lane Landfill Site,850A,User Fees & Donations,Revenues,2141321
Solid Waste Management Services,SW-Residual Management,Green Lane Landfill Site,940A,Sundry and Other Revenues,Revenues,43279633
Solid Waste Management Services,SW-Residual Management,Perpetual Care,850A,User Fees & Donations,Revenues,103000
Solid Waste Management Services,SW-Residual Management,Perpetual Care,920A,Transfers From Capital,Revenues,2294634
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Garbage (C&T),750A,Inter-Divisional Recoveries,Revenues,50645
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Garbage (C&T),850A,User Fees & Donations,Revenues,270331329
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Garbage (C&T),920A,Transfers From Capital,Revenues,653230
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Garbage (C&T),940A,Sundry and Other Revenues,Revenues,4024343
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Leaf & Yard Waste (C&T),850A,User Fees & Donations,Revenues,615145
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Leaf & Yard Waste (C&T),920A,Transfers From Capital,Revenues,33125
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Leaf & Yard Waste (C&T),940A,Sundry and Other Revenues,Revenues,51786
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Recyclables (C&T),750A,Inter-Divisional Recoveries,Revenues,38004
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Recyclables (C&T),805A,Provincial Subsidies,Revenues,10856800
Solid Waste Management Services,SW-Solid Waste Education & Enforcement,Environment Days,940A,Sundry and Other Revenues,Revenues,999
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Durable Goods (P&T),940A,Sundry and Other Revenues,Revenues,1121436
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Garbage (P&T),750A,Inter-Divisional Recoveries,Revenues,2698278
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Garbage (P&T),805A,Provincial Subsidies,Revenues,4646
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Garbage (P&T),850A,User Fees & Donations,Revenues,9199348
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Garbage (P&T),920A,Transfers From Capital,Revenues,454861
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Garbage (P&T),940A,Sundry and Other Revenues,Revenues,572012
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Green Bin (P&T),920A,Transfers From Capital,Revenues,120677
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Leaf & Yard Waste (P&T),750A,Inter-Divisional Recoveries,Revenues,135283
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Leaf & Yard Waste (P&T),805A,Provincial Subsidies,Revenues,3872
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Leaf & Yard Waste (P&T),850A,User Fees & Donations,Revenues,391617
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Leaf & Yard Waste (P&T),920A,Transfers From Capital,Revenues,83546
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Leaf & Yard Waste (P&T),940A,Sundry and Other Revenues,Revenues,18858
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Municipal Hazardous & Special Waste (P&T),805A,Provincial Subsidies,Revenues,1155414
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Municipal Hazardous & Special Waste (P&T),920A,Transfers From Capital,Revenues,510301
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Municipal Hazardous & Special Waste (P&T),940A,Sundry and Other Revenues,Revenues,310637
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Resales of Recyclables (P&T),750A,Inter-Divisional Recoveries,Revenues,129852
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Resales of Recyclables (P&T),805A,Provincial Subsidies,Revenues,9644362
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Resales of Recyclables (P&T),850A,User Fees & Donations,Revenues,344447
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Resales of Recyclables (P&T),920A,Transfers From Capital,Revenues,194940
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Resales of Recyclables (P&T),940A,Sundry and Other Revenues,Revenues,23836624
Theatres,Theatrical & Other Cultural Events,Theatrical & Other Cultural Events,850A,User Fees & Donations,Revenues,12182214
Theatres,Theatrical & Other Cultural Events,Theatrical & Other Cultural Events,930A,Contribution From Reserves/Reserve Funds,Revenues,2370893
Theatres,Theatrical & Other Cultural Events,Theatrical & Other Cultural Events,940A,Sundry and Other Revenues,Revenues,3073679
Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,805A,Provincial Subsidies,Revenues,1835000
Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,850A,User Fees & Donations,Revenues,24702000
Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,930A,Contribution From Reserves/Reserve Funds,Revenues,4713000
Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,940A,Sundry and Other Revenues,Revenues,5362000
Toronto Atmospheric Fund,Toronto Atmospheric Fund,Toronto Atmospheric Fund,850A,User Fees & Donations,Revenues,650000
Toronto Atmospheric Fund,Toronto Atmospheric Fund,Toronto Atmospheric Fund,940A,Sundry and Other Revenues,Revenues,1925000
Toronto Building,BL-Building Compliance,Building Inspections,750A,Inter-Divisional Recoveries,Revenues,407359
Toronto Building,BL-Building Compliance,Building Inspections,850A,User Fees & Donations,Revenues,594566
Toronto Building,BL-Building Compliance,Building Inspections,860A,Licences & Permits Revenue,Revenues,22587639
Toronto Building,BL-Building Compliance,Building Inspections,920A,Transfers From Capital,Revenues,162721
Toronto Building,BL-Building Compliance,Building Inspections,930A,Contribution From Reserves/Reserve Funds,Revenues,189994
Toronto Building,BL-Building Compliance,Building Inspections,940A,Sundry and Other Revenues,Revenues,14600
Toronto Building,BL-Building Compliance,Building Investigations,750A,Inter-Divisional Recoveries,Revenues,82588
Toronto Building,BL-Building Compliance,Building Investigations,850A,User Fees & Donations,Revenues,120542
Toronto Building,BL-Building Compliance,Building Investigations,860A,Licences & Permits Revenue,Revenues,4488177
Toronto Building,BL-Building Compliance,Building Investigations,920A,Transfers From Capital,Revenues,27921
Toronto Building,BL-Building Compliance,Building Investigations,930A,Contribution From Reserves/Reserve Funds,Revenues,8108
Toronto Building,BL-Building Compliance,Building Investigations,940A,Sundry and Other Revenues,Revenues,2960
Toronto Building,BL-Building Compliance,Sign Tax Billing & Collection,750A,Inter-Divisional Recoveries,Revenues,8928
Toronto Building,BL-Building Compliance,Sign Tax Billing & Collection,850A,User Fees & Donations,Revenues,13032
Toronto Building,BL-Building Compliance,Sign Tax Billing & Collection,860A,Licences & Permits Revenue,Revenues,485209
Toronto Building,BL-Building Compliance,Sign Tax Billing & Collection,920A,Transfers From Capital,Revenues,2384
Toronto Building,BL-Building Compliance,Sign Tax Billing & Collection,930A,Contribution From Reserves/Reserve Funds,Revenues,877
Toronto Building,BL-Building Compliance,Sign Tax Billing & Collection,940A,Sundry and Other Revenues,Revenues,319
Toronto Building,BL-Building Permission & Information,Building Information,750A,Inter-Divisional Recoveries,Revenues,122766
Toronto Building,BL-Building Permission & Information,Building Information,850A,User Fees & Donations,Revenues,179185
Toronto Building,BL-Building Permission & Information,Building Information,860A,Licences & Permits Revenue,Revenues,6671619
Toronto Building,BL-Building Permission & Information,Building Information,920A,Transfers From Capital,Revenues,49453
Toronto Building,BL-Building Permission & Information,Building Information,930A,Contribution From Reserves/Reserve Funds,Revenues,12053
Toronto Building,BL-Building Permission & Information,Building Information,940A,Sundry and Other Revenues,Revenues,4400
Toronto Building,BL-Building Permission & Information,Building Permits,750A,Inter-Divisional Recoveries,Revenues,399547
Toronto Building,BL-Building Permission & Information,Building Permits,850A,User Fees & Donations,Revenues,583164
Toronto Building,BL-Building Permission & Information,Building Permits,860A,Licences & Permits Revenue,Revenues,21713079
Toronto Building,BL-Building Permission & Information,Building Permits,920A,Transfers From Capital,Revenues,153682
Toronto Building,BL-Building Permission & Information,Building Permits,930A,Contribution From Reserves/Reserve Funds,Revenues,39227
Toronto Building,BL-Building Permission & Information,Building Permits,940A,Sundry and Other Revenues,Revenues,14320
Toronto Building,BL-Building Permission & Information,Preliminary Review,750A,Inter-Divisional Recoveries,Revenues,94864
Toronto Building,BL-Building Permission & Information,Preliminary Review,850A,User Fees & Donations,Revenues,138461
Toronto Building,BL-Building Permission & Information,Preliminary Review,860A,Licences & Permits Revenue,Revenues,5155339
Toronto Building,BL-Building Permission & Information,Preliminary Review,920A,Transfers From Capital,Revenues,38103
Toronto Building,BL-Building Permission & Information,Preliminary Review,930A,Contribution From Reserves/Reserve Funds,Revenues,9314
Toronto Building,BL-Building Permission & Information,Preliminary Review,940A,Sundry and Other Revenues,Revenues,3400
Toronto Employment & Social Services,SS-Employment Services,Develop and implement integrated employment strategies,750A,Inter-Divisional Recoveries,Revenues,4766
Toronto Employment & Social Services,SS-Employment Services,Develop and implement integrated employment strategies,805A,Provincial Subsidies,Revenues,1283604
Toronto Employment & Social Services,SS-Employment Services,Develop and implement integrated employment strategies,930A,Contribution From Reserves/Reserve Funds,Revenues,7127
Toronto Employment & Social Services,SS-Employment Services,Plan and manage employment and career services,750A,Inter-Divisional Recoveries,Revenues,62100
Toronto Employment & Social Services,SS-Employment Services,Plan and manage employment and career services,805A,Provincial Subsidies,Revenues,49148636
Toronto Employment & Social Services,SS-Employment Services,Plan and manage employment and career services,930A,Contribution From Reserves/Reserve Funds,Revenues,1661597
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration,750A,Inter-Divisional Recoveries,Revenues,39792
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration,805A,Provincial Subsidies,Revenues,794945127
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration,930A,Contribution From Reserves/Reserve Funds,Revenues,12862092
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration,940A,Sundry and Other Revenues,Revenues,17800000
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Eligibility determination and case management,750A,Inter-Divisional Recoveries,Revenues,126906
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Eligibility determination and case management,805A,Provincial Subsidies,Revenues,24044000
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Eligibility determination and case management,930A,Contribution From Reserves/Reserve Funds,Revenues,1542697
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Provide Individualized Employment Service Planning,750A,Inter-Divisional Recoveries,Revenues,162822
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Provide Individualized Employment Service Planning,805A,Provincial Subsidies,Revenues,56375487
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Provide Individualized Employment Service Planning,930A,Contribution From Reserves/Reserve Funds,Revenues,3069806
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,750A,Inter-Divisional Recoveries,Revenues,402876
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,805A,Provincial Subsidies,Revenues,573975
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,850A,User Fees & Donations,Revenues,507431
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,920A,Transfers From Capital,Revenues,900
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,940A,Sundry and Other Revenues,Revenues,15045
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,750A,Inter-Divisional Recoveries,Revenues,583
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,805A,Provincial Subsidies,Revenues,322712
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,850A,User Fees & Donations,Revenues,106
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,920A,Transfers From Capital,Revenues,225
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,940A,Sundry and Other Revenues,Revenues,3397
Toronto Paramedic Services,AM-Emergency Medical Care,AM-City Emergency & Major Event Mass Casualty Care,750A,Inter-Divisional Recoveries,Revenues,1748
Toronto Paramedic Services,AM-Emergency Medical Care,AM-City Emergency & Major Event Mass Casualty Care,805A,Provincial Subsidies,Revenues,1016258
Toronto Paramedic Services,AM-Emergency Medical Care,AM-City Emergency & Major Event Mass Casualty Care,850A,User Fees & Donations,Revenues,615477
Toronto Paramedic Services,AM-Emergency Medical Care,AM-City Emergency & Major Event Mass Casualty Care,920A,Transfers From Capital,Revenues,675
Toronto Paramedic Services,AM-Emergency Medical Care,AM-City Emergency & Major Event Mass Casualty Care,940A,Sundry and Other Revenues,Revenues,48982
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,750A,Inter-Divisional Recoveries,Revenues,4274
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,805A,Provincial Subsidies,Revenues,3340188
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,850A,User Fees & Donations,Revenues,6329
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,920A,Transfers From Capital,Revenues,1650
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,940A,Sundry and Other Revenues,Revenues,4473
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,750A,Inter-Divisional Recoveries,Revenues,185320
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,805A,Provincial Subsidies,Revenues,91609455
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,850A,User Fees & Donations,Revenues,279011
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,920A,Transfers From Capital,Revenues,71550
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,940A,Sundry and Other Revenues,Revenues,484783
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,Emergency Medical Dispatch & Preliminary Care,750A,Inter-Divisional Recoveries,Revenues,115868
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,Emergency Medical Dispatch & Preliminary Care,805A,Provincial Subsidies,Revenues,25823271
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,Emergency Medical Dispatch & Preliminary Care,850A,User Fees & Donations,Revenues,8501
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,Emergency Medical Dispatch & Preliminary Care,940A,Sundry and Other Revenues,Revenues,2352
Toronto Parking Authority,Bike Share,Bike Share,930A,Contribution From Reserves/Reserve Funds,Revenues,78000
Toronto Parking Authority,Bike Share,Bike Share,940A,Sundry and Other Revenues,Revenues,835100
Toronto Parking Authority,Off-Street Parking,Off-Street Parking,850A,User Fees & Donations,Revenues,83826861
Toronto Parking Authority,Off-Street Parking,Off-Street Parking,940A,Sundry and Other Revenues,Revenues,3990020
Toronto Parking Authority,On-Street Parking,On-Street Parking,850A,User Fees & Donations,Revenues,48258375
Toronto Police Service,Toronto Police Service,Toronto Police Service,750A,Inter-Divisional Recoveries,Revenues,9336500
Toronto Police Service,Toronto Police Service,Toronto Police Service,805A,Provincial Subsidies,Revenues,46664000
Toronto Police Service,Toronto Police Service,Toronto Police Service,850A,User Fees & Donations,Revenues,47810700
Toronto Police Service,Toronto Police Service,Toronto Police Service,930A,Contribution From Reserves/Reserve Funds,Revenues,23652700
Toronto Police Services Board,Toronto Police Service Governance & Oversight,Toronto Police Service Governance & Oversight,930A,Contribution From Reserves/Reserve Funds,Revenues,750000
Toronto Public Health,Chronic Diseases & Injuries,Chronic Diseases & Injuries,805A,Provincial Subsidies,Revenues,27080428
Toronto Public Health,Chronic Diseases & Injuries,Chronic Diseases & Injuries,810A,Federal Subsidies,Revenues,192161
Toronto Public Health,Chronic Diseases & Injuries,Chronic Diseases & Injuries,920A,Transfers From Capital,Revenues,195353
Toronto Public Health,Chronic Diseases & Injuries,Chronic Diseases & Injuries,940A,Sundry and Other Revenues,Revenues,1241
Toronto Public Health,Emergency Preparedness,Emergency Preparedness,805A,Provincial Subsidies,Revenues,2324555
Toronto Public Health,Emergency Preparedness,Emergency Preparedness,850A,User Fees & Donations,Revenues,14236
Toronto Public Health,Emergency Preparedness,Emergency Preparedness,920A,Transfers From Capital,Revenues,28371
Toronto Public Health,Emergency Preparedness,Emergency Preparedness,940A,Sundry and Other Revenues,Revenues,192
Toronto Public Health,Environmental Health,Environmental Health,750A,Inter-Divisional Recoveries,Revenues,10630
Toronto Public Health,Environmental Health,Environmental Health,805A,Provincial Subsidies,Revenues,17127577
Toronto Public Health,Environmental Health,Environmental Health,810A,Federal Subsidies,Revenues,88036
Toronto Public Health,Environmental Health,Environmental Health,850A,User Fees & Donations,Revenues,950918
Toronto Public Health,Environmental Health,Environmental Health,920A,Transfers From Capital,Revenues,365962
Toronto Public Health,Environmental Health,Environmental Health,940A,Sundry and Other Revenues,Revenues,553
Toronto Public Health,Family Health,Family Health,750A,Inter-Divisional Recoveries,Revenues,2856153
Toronto Public Health,Family Health,Family Health,805A,Provincial Subsidies,Revenues,66467316
Toronto Public Health,Family Health,Family Health,920A,Transfers From Capital,Revenues,167715
Toronto Public Health,Family Health,Family Health,940A,Sundry and Other Revenues,Revenues,597601
Toronto Public Health,Infectious Diseases,Infectious Diseases,805A,Provincial Subsidies,Revenues,47217753
Toronto Public Health,Infectious Diseases,Infectious Diseases,810A,Federal Subsidies,Revenues,3731
Toronto Public Health,Infectious Diseases,Infectious Diseases,850A,User Fees & Donations,Revenues,40931
Toronto Public Health,Infectious Diseases,Infectious Diseases,920A,Transfers From Capital,Revenues,1429600
Toronto Public Health,Infectious Diseases,Infectious Diseases,940A,Sundry and Other Revenues,Revenues,957367
Toronto Public Health,Public Health Foundations,Public Health Foundations,805A,Provincial Subsidies,Revenues,15085423
Toronto Public Health,Public Health Foundations,Public Health Foundations,810A,Federal Subsidies,Revenues,23500
Toronto Public Health,Public Health Foundations,Public Health Foundations,920A,Transfers From Capital,Revenues,233210
Toronto Public Health,Public Health Foundations,Public Health Foundations,940A,Sundry and Other Revenues,Revenues,301194
Toronto Public Library,Library Collections Access & Borrowing,Library Collections Access & Borrowing,805A,Provincial Subsidies,Revenues,1033120
Toronto Public Library,Library Collections Access & Borrowing,Library Collections Access & Borrowing,850A,User Fees & Donations,Revenues,888050
Toronto Public Library,Library Collections Access & Borrowing,Library Collections Access & Borrowing,920A,Transfers From Capital,Revenues,170499
Toronto Public Library,Library Collections Access & Borrowing,Library Collections Access & Borrowing,930A,Contribution From Reserves/Reserve Funds,Revenues,3660288
Toronto Public Library,Library Collections Access & Borrowing,Library Collections Access & Borrowing,940A,Sundry and Other Revenues,Revenues,357096
Toronto Public Library,Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,805A,Provincial Subsidies,Revenues,4557047
Toronto Public Library,Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,850A,User Fees & Donations,Revenues,3916406
Toronto Public Library,Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,920A,Transfers From Capital,Revenues,752034
Toronto Public Library,Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,930A,Contribution From Reserves/Reserve Funds,Revenues,415123
Toronto Public Library,Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,940A,Sundry and Other Revenues,Revenues,1575129
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",805A,Provincial Subsidies,Revenues,105233
