_META_START_,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,Contribution To Reserves/Reserve Funds,137891.92
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,Equipment,279741.19
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,Inter-Divisional Charges,1914049.94
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,Materials & Supplies,342425.14
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,Salaries And Benefits,21416646.21
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,Service And Rent,2502687.75
Toronto Parking Authority,Bike Share,Service And Rent,913100.04
Toronto Parking Authority,Off-Street Parking,Equipment,4902087.96
Toronto Parking Authority,Off-Street Parking,Materials & Supplies,4070987.04
Toronto Parking Authority,Off-Street Parking,Other Expenditures,36479235
Toronto Parking Authority,Off-Street Parking,Salaries And Benefits,21507046.08
Toronto Parking Authority,Off-Street Parking,Service And Rent,20857524.96
Toronto Parking Authority,On-Street Parking,Equipment,2396897.04
Toronto Parking Authority,On-Street Parking,Materials & Supplies,5368187.04
Toronto Parking Authority,On-Street Parking,Other Expenditures,34608732
Toronto Parking Authority,On-Street Parking,Salaries And Benefits,2671618.92
Toronto Parking Authority,On-Street Parking,Service And Rent,3212940
Toronto Police Service,Toronto Police Service,Contribution To Reserves/Reserve Funds,38421888.53
Toronto Police Service,Toronto Police Service,Equipment,2157799.96
Toronto Police Service,Toronto Police Service,Inter-Divisional Charges,20240399.53
Toronto Police Service,Toronto Police Service,Materials & Supplies,18298399.96
Toronto Police Service,Toronto Police Service,Salaries And Benefits,1011506700
Toronto Police Service,Toronto Police Service,Service And Rent,40303787.6
Toronto Police Services Board,Toronto Police Service Governance & Oversight,Contribution To Capital,610599.96
Toronto Police Services Board,Toronto Police Service Governance & Oversight,Equipment,900
Toronto Police Services Board,Toronto Police Service Governance & Oversight,Inter-Divisional Charges,645400
Toronto Police Services Board,Toronto Police Service Governance & Oversight,Materials & Supplies,7599.96
Toronto Police Services Board,Toronto Police Service Governance & Oversight,Salaries And Benefits,963200
Toronto Police Services Board,Toronto Police Service Governance & Oversight,Service And Rent,821700.04
Toronto Public Health,Chronic Diseases & Injuries,Contribution To Reserves/Reserve Funds,219201.17
Toronto Public Health,Chronic Diseases & Injuries,Equipment,95498.48
Toronto Public Health,Chronic Diseases & Injuries,Inter-Divisional Charges,2526476.76
Toronto Public Health,Chronic Diseases & Injuries,Materials & Supplies,427153.73
Toronto Public Health,Chronic Diseases & Injuries,Other Expenditures,3405508.78
Toronto Public Health,Chronic Diseases & Injuries,Salaries And Benefits,28553507.81
Toronto Public Health,Chronic Diseases & Injuries,Service And Rent,3296999.6
Toronto Public Health,Emergency Preparedness,Contribution To Reserves/Reserve Funds,25788.37
Toronto Public Health,Emergency Preparedness,Equipment,15270.96
Toronto Public Health,Emergency Preparedness,Inter-Divisional Charges,292962.94
Toronto Public Health,Emergency Preparedness,Materials & Supplies,14594.62
Toronto Public Health,Emergency Preparedness,Salaries And Benefits,2608731.71
Toronto Public Health,Emergency Preparedness,Service And Rent,173490.88
Toronto Public Health,Environmental Health,Contribution To Reserves/Reserve Funds,167624.43
Toronto Public Health,Environmental Health,Equipment,193761.61
Toronto Public Health,Environmental Health,Inter-Divisional Charges,1980567.09
Toronto Public Health,Environmental Health,Materials & Supplies,149549.3
Toronto Public Health,Environmental Health,Other Expenditures,14000
Toronto Public Health,Environmental Health,Salaries And Benefits,19614246.65
Toronto Public Health,Environmental Health,Service And Rent,1848423.29
Toronto Public Health,Family Health,Contribution To Reserves/Reserve Funds,361037.21
Toronto Public Health,Family Health,Equipment,283930.66
Toronto Public Health,Family Health,Inter-Divisional Charges,4430470.02
Toronto Public Health,Family Health,Materials & Supplies,1154038.04
Toronto Public Health,Family Health,Other Expenditures,3297480.78
Toronto Public Health,Family Health,Salaries And Benefits,60899258.86
Toronto Public Health,Family Health,Service And Rent,16020130.9
Toronto Public Health,Infectious Diseases,Contribution To Reserves/Reserve Funds,386825.59
Toronto Public Health,Infectious Diseases,Equipment,293773.39
Toronto Public Health,Infectious Diseases,Inter-Divisional Charges,4442438.28
Toronto Public Health,Infectious Diseases,Materials & Supplies,1474558.59
Toronto Public Health,Infectious Diseases,Salaries And Benefits,49240997.1
Toronto Public Health,Infectious Diseases,Service And Rent,8128640.92
Toronto Public Health,Public Health Foundations,Contribution To Reserves/Reserve Funds,128941.87
Toronto Public Health,Public Health Foundations,Equipment,130270.53
Toronto Public Health,Public Health Foundations,Inter-Divisional Charges,1481319.86
Toronto Public Health,Public Health Foundations,Materials & Supplies,486135.48
Toronto Public Health,Public Health Foundations,Other Expenditures,3424411.44
Toronto Public Health,Public Health Foundations,Salaries And Benefits,20004605.18
Toronto Public Health,Public Health Foundations,Service And Rent,1515116.16
Toronto Public Library,Library Collections Access & Borrowing,Contribution To Capital,171259
Toronto Public Library,Library Collections Access & Borrowing,Contribution To Reserves/Reserve Funds,110971
Toronto Public Library,Library Collections Access & Borrowing,Equipment,81941
Toronto Public Library,Library Collections Access & Borrowing,Materials & Supplies,13794601
Toronto Public Library,Library Collections Access & Borrowing,Salaries And Benefits,56083102
Toronto Public Library,Library Collections Access & Borrowing,Service And Rent,2973321
Toronto Public Library,Library In-Branch & Virtual Services,Contribution To Capital,1167698
Toronto Public Library,Library In-Branch & Virtual Services,Contribution To Reserves/Reserve Funds,756711
Toronto Public Library,Library In-Branch & Virtual Services,Equipment,628684
Toronto Public Library,Library In-Branch & Virtual Services,Materials & Supplies,12994706
Toronto Public Library,Library In-Branch & Virtual Services,Salaries And Benefits,81967610
Toronto Public Library,Library In-Branch & Virtual Services,Service And Rent,15684708
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement",Contribution To Capital,39043
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement",Contribution To Reserves/Reserve Funds,25300
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement",Equipment,18802
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement",Materials & Supplies,709467
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement",Salaries And Benefits,5752111
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement",Service And Rent,501861
Toronto Transit Commission - Conventional,Toronto Transit Commission - Conventional Service,Equipment,33449400.41
Toronto Transit Commission - Conventional,Toronto Transit Commission - Conventional Service,Inter-Divisional Charges,3680799.99
Toronto Transit Commission - Conventional,Toronto Transit Commission - Conventional Service,Materials & Supplies,307775099.4
Toronto Transit Commission - Conventional,Toronto Transit Commission - Conventional Service,Other Expenditures,34645100.02
Toronto Transit Commission - Conventional,Toronto Transit Commission - Conventional Service,Salaries And Benefits,1273307199.99
Toronto Transit Commission - Conventional,Toronto Transit Commission - Conventional Service,Service And Rent,83898799.81
Toronto Transit Commission - Wheel Trans,Toronto Transit Commission - Wheel-Trans Service,Materials & Supplies,13861001.01
Toronto Transit Commission - Wheel Trans,Toronto Transit Commission - Wheel-Trans Service,Other Expenditures,909700.02
Toronto Transit Commission - Wheel Trans,Toronto Transit Commission - Wheel-Trans Service,Salaries And Benefits,57658498.57
Toronto Transit Commission - Wheel Trans,Toronto Transit Commission - Wheel-Trans Service,Service And Rent,51236700.37
Toronto Water,TW-Stormwater Management,Contribution To Reserves/Reserve Funds,-19314617.56
Toronto Water,TW-Stormwater Management,Equipment,161944.33
Toronto Water,TW-Stormwater Management,Inter-Divisional Charges,6070142.18
Toronto Water,TW-Stormwater Management,Materials & Supplies,890336.98
Toronto Water,TW-Stormwater Management,Other Expenditures,4728314.16
Toronto Water,TW-Stormwater Management,Salaries And Benefits,8955894.42
Toronto Water,TW-Stormwater Management,Service And Rent,2062360.33
Toronto Water,TW-Wastewater Collection & Treatment,Contribution To Reserves/Reserve Funds,425084954.76
Toronto Water,TW-Wastewater Collection & Treatment,Equipment,1926797.04
Toronto Water,TW-Wastewater Collection & Treatment,Inter-Divisional Charges,29799481.77
Toronto Water,TW-Wastewater Collection & Treatment,Materials & Supplies,56381740.2
Toronto Water,TW-Wastewater Collection & Treatment,Other Expenditures,8086563.32
Toronto Water,TW-Wastewater Collection & Treatment,Salaries And Benefits,85792512.74
Toronto Water,TW-Wastewater Collection & Treatment,Service And Rent,35658948.42
Toronto Water,TW-Water Treatment & Supply,Contribution To Reserves/Reserve Funds,322865147.6
Toronto Water,TW-Water Treatment & Supply,Equipment,1068420.35
Toronto Water,TW-Water Treatment & Supply,Inter-Divisional Charges,36486508.1
Toronto Water,TW-Water Treatment & Supply,Materials & Supplies,50468417.2
Toronto Water,TW-Water Treatment & Supply,Other Expenditures,7257740.52
Toronto Water,TW-Water Treatment & Supply,Salaries And Benefits,74997909.04
Toronto Water,TW-Water Treatment & Supply,Service And Rent,19049084.71
Toronto Zoo,Zoo Conservation & Science,Contribution To Reserves/Reserve Funds,10930
Toronto Zoo,Zoo Conservation & Science,Equipment,131449.19
Toronto Zoo,Zoo Conservation & Science,Materials & Supplies,2027564.06
Toronto Zoo,Zoo Conservation & Science,Salaries And Benefits,13537520.86
Toronto Zoo,Zoo Conservation & Science,Service And Rent,2260999.5
Toronto Zoo,Zoo Fundraising & Strategic Partnerships,Contribution To Reserves/Reserve Funds,1873.77
Toronto Zoo,Zoo Fundraising & Strategic Partnerships,Equipment,10927.13
Toronto Zoo,Zoo Fundraising & Strategic Partnerships,Materials & Supplies,518527.43
Toronto Zoo,Zoo Fundraising & Strategic Partnerships,Salaries And Benefits,1144653.91
Toronto Zoo,Zoo Fundraising & Strategic Partnerships,Service And Rent,1239799.73
Toronto Zoo,Zoo Visitor Services,Contribution To Reserves/Reserve Funds,959438.07
Toronto Zoo,Zoo Visitor Services,Equipment,193522.95
Toronto Zoo,Zoo Visitor Services,Materials & Supplies,5272604.85
Toronto Zoo,Zoo Visitor Services,Salaries And Benefits,14584402.43
Toronto Zoo,Zoo Visitor Services,Service And Rent,9278853.97
Transportation Services,TP-Permits & Applications,Contribution To Reserves/Reserve Funds,77527.33
Transportation Services,TP-Permits & Applications,Equipment,26344.52
Transportation Services,TP-Permits & Applications,Inter-Divisional Charges,953218.02
Transportation Services,TP-Permits & Applications,Materials & Supplies,405198.03
Transportation Services,TP-Permits & Applications,Other Expenditures,310372.06
Transportation Services,TP-Permits & Applications,Salaries And Benefits,13268247.92
Transportation Services,TP-Permits & Applications,Service And Rent,616273.34
Transportation Services,TP-Road & Sidewalk Management,Contribution To Reserves/Reserve Funds,20236315.61
Transportation Services,TP-Road & Sidewalk Management,Equipment,542676.53
Transportation Services,TP-Road & Sidewalk Management,Inter-Divisional Charges,13042509.06
Transportation Services,TP-Road & Sidewalk Management,Materials & Supplies,15406880.53
Transportation Services,TP-Road & Sidewalk Management,Other Expenditures,483719.81
Transportation Services,TP-Road & Sidewalk Management,Salaries And Benefits,61769227.24
Transportation Services,TP-Road & Sidewalk Management,Service And Rent,166119569.09
Transportation Services,TP-Transportation Safety & Operations,Contribution To Reserves/Reserve Funds,127857.63
Transportation Services,TP-Transportation Safety & Operations,Equipment,197653.55
Transportation Services,TP-Transportation Safety & Operations,Inter-Divisional Charges,1432468.65
Transportation Services,TP-Transportation Safety & Operations,Materials & Supplies,29234090.53
Transportation Services,TP-Transportation Safety & Operations,Other Expenditures,250066.63
Transportation Services,TP-Transportation Safety & Operations,Salaries And Benefits,22999114.91
Transportation Services,TP-Transportation Safety & Operations,Service And Rent,40991866.04
Yonge-Dundas Square,Yd-Public Square And Event Venue,Contribution To Reserves/Reserve Funds,2773.48
Yonge-Dundas Square,Yd-Public Square And Event Venue,Equipment,40000
Yonge-Dundas Square,Yd-Public Square And Event Venue,Materials & Supplies,192925.47
Yonge-Dundas Square,Yd-Public Square And Event Venue,Salaries And Benefits,582305.02
Yonge-Dundas Square,Yd-Public Square And Event Venue,Service And Rent,1516512.04
