_META_START_,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,,
"Social Development, Finance & Administration",CD-Toronto Office of Partnerships,Revenue Generation and Management,Sundry and Other Revenues,117929
"Social Development, Finance & Administration",Corporate Leadership (DCM),,Inter-Divisional Recoveries,296151
"Social Development, Finance & Administration",Corporate Leadership (DCM),,Provincial Subsidies,90018
Solid Waste Management Services,SW-City Beautification,Litter Pick-up,Transfers From Capital,141963
Solid Waste Management Services,SW-City Beautification,Parks Bin,Transfers From Capital,52382
Solid Waste Management Services,SW-City Beautification,Street Litter Bins,Inter-Divisional Recoveries,1479830
Solid Waste Management Services,SW-City Beautification,Street Litter Bins,Sundry and Other Revenues,900000
Solid Waste Management Services,SW-City Beautification,Street Litter Bins,Transfers From Capital,39750
Solid Waste Management Services,SW-Residual Management,Energy Generation,Transfers From Capital,499777
Solid Waste Management Services,SW-Residual Management,Green Lane Landfill Site,Sundry and Other Revenues,39344239
Solid Waste Management Services,SW-Residual Management,Green Lane Landfill Site,User Fees & Donations,2001488
Solid Waste Management Services,SW-Residual Management,Green Lane Landfill Site,Inter-Divisional Recoveries,1149520
Solid Waste Management Services,SW-Residual Management,Perpetual Care,Transfers From Capital,2044298
Solid Waste Management Services,SW-Residual Management,Perpetual Care,User Fees & Donations,174977
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Durable Goods (C&T),Transfers From Capital,104995
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Garbage (C&T),User Fees & Donations,281427623
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Garbage (C&T),Sundry and Other Revenues,4345332
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Garbage (C&T),Transfers From Capital,670747
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Garbage (C&T),Inter-Divisional Recoveries,438116
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Green Bin (C&T),Transfers From Capital,203964
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Leaf & Yard Waste (C&T),User Fees & Donations,412144
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Leaf & Yard Waste (C&T),Transfers From Capital,140509
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Leaf & Yard Waste (C&T),Sundry and Other Revenues,59947
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Municipal Hazardous & Special Waste (C&T),Transfers From Capital,14370
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Recyclables (C&T),Provincial Subsidies,11121600
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Recyclables (C&T),Transfers From Capital,159231
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Recyclables (C&T),Inter-Divisional Recoveries,38004
Solid Waste Management Services,SW-Solid Waste Education & Enforcement,Environment Days,Sundry and Other Revenues,3075
Solid Waste Management Services,SW-Solid Waste Education & Enforcement,Environment Days,Inter-Divisional Recoveries,1375
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Durable Goods (P&T),Sundry and Other Revenues,1243209
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Durable Goods (P&T),Inter-Divisional Recoveries,6874
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Garbage (P&T),User Fees & Donations,9553744
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Garbage (P&T),Inter-Divisional Recoveries,3548615
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Garbage (P&T),Sundry and Other Revenues,605676
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Garbage (P&T),Transfers From Capital,442760
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Garbage (P&T),Provincial Subsidies,4646
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Green Bin (P&T),Transfers From Capital,117467
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Leaf & Yard Waste (P&T),User Fees & Donations,421276
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Leaf & Yard Waste (P&T),Inter-Divisional Recoveries,117648
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Leaf & Yard Waste (P&T),Transfers From Capital,81323
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Leaf & Yard Waste (P&T),Sundry and Other Revenues,18858
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Leaf & Yard Waste (P&T),Provincial Subsidies,3872
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Municipal Hazardous & Special Waste (P&T),Provincial Subsidies,1010669
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Municipal Hazardous & Special Waste (P&T),Transfers From Capital,516002
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Municipal Hazardous & Special Waste (P&T),Sundry and Other Revenues,372139
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Municipal Hazardous & Special Waste (P&T),User Fees & Donations,17757
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Resales of Recyclables (P&T),Sundry and Other Revenues,22410643
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Resales of Recyclables (P&T),Provincial Subsidies,9879562
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Resales of Recyclables (P&T),User Fees & Donations,362005
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Resales of Recyclables (P&T),Transfers From Capital,240050
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Resales of Recyclables (P&T),Inter-Divisional Recoveries,179635
Theatres,Theatrical & Other Cultural Events,,User Fees & Donations,17737291
Theatres,Theatrical & Other Cultural Events,,Sundry and Other Revenues,3110684
Theatres,Theatrical & Other Cultural Events,,Contribution From Reserves/Reserve Funds,2324492
Toronto & Region Conservation Authority,,,User Fees & Donations,27705300
Toronto & Region Conservation Authority,,,Sundry and Other Revenues,10325400
Toronto & Region Conservation Authority,,,Provincial Subsidies,1940000
Toronto Atmospheric Fund,,,Sundry and Other Revenues,3310000
Toronto Atmospheric Fund,,,User Fees & Donations,400000
Toronto Building,BL-Building Compliance,Building Inspections,Licences & Permits Revenue,23093944
Toronto Building,BL-Building Compliance,Building Inspections,User Fees & Donations,939586
Toronto Building,BL-Building Compliance,Building Inspections,Inter-Divisional Recoveries,407359
Toronto Building,BL-Building Compliance,Building Inspections,Contribution From Reserves/Reserve Funds,189994
Toronto Building,BL-Building Compliance,Building Inspections,Transfers From Capital,20075
Toronto Building,BL-Building Compliance,Building Inspections,Sundry and Other Revenues,14600
Toronto Building,BL-Building Compliance,Building Investigations,Licences & Permits Revenue,4588780
Toronto Building,BL-Building Compliance,Building Investigations,User Fees & Donations,311598
Toronto Building,BL-Building Compliance,Building Investigations,Inter-Divisional Recoveries,82588
Toronto Building,BL-Building Compliance,Building Investigations,Contribution From Reserves/Reserve Funds,8108
Toronto Building,BL-Building Compliance,Building Investigations,Transfers From Capital,4070
Toronto Building,BL-Building Compliance,Building Investigations,Sundry and Other Revenues,2960
Toronto Building,BL-Building Compliance,Sign Tax Billing & Collection,Licences & Permits Revenue,496085
Toronto Building,BL-Building Compliance,Sign Tax Billing & Collection,User Fees & Donations,48863
Toronto Building,BL-Building Compliance,Sign Tax Billing & Collection,Inter-Divisional Recoveries,8928
Toronto Building,BL-Building Compliance,Sign Tax Billing & Collection,Contribution From Reserves/Reserve Funds,877
Toronto Building,BL-Building Compliance,Sign Tax Billing & Collection,Transfers From Capital,440
Toronto Building,BL-Building Compliance,Sign Tax Billing & Collection,Sundry and Other Revenues,319
Toronto Building,BL-Building Permission & Information,Building Information,Licences & Permits Revenue,6821164
Toronto Building,BL-Building Permission & Information,Building Information,User Fees & Donations,273232
Toronto Building,BL-Building Permission & Information,Building Information,Inter-Divisional Recoveries,122766
Toronto Building,BL-Building Permission & Information,Building Information,Contribution From Reserves/Reserve Funds,12053
Toronto Building,BL-Building Permission & Information,Building Information,Transfers From Capital,6050
Toronto Building,BL-Building Permission & Information,Building Information,Sundry and Other Revenues,4400
Toronto Building,BL-Building Permission & Information,Building Permits,Licences & Permits Revenue,22199781
Toronto Building,BL-Building Permission & Information,Building Permits,User Fees & Donations,1062975
Toronto Building,BL-Building Permission & Information,Building Permits,Inter-Divisional Recoveries,399547
Toronto Building,BL-Building Permission & Information,Building Permits,Contribution From Reserves/Reserve Funds,39227
Toronto Building,BL-Building Permission & Information,Building Permits,Transfers From Capital,19690
Toronto Building,BL-Building Permission & Information,Building Permits,Sundry and Other Revenues,14320
Toronto Building,BL-Building Permission & Information,Preliminary Review,Licences & Permits Revenue,5270897
Toronto Building,BL-Building Permission & Information,Preliminary Review,User Fees & Donations,213826
Toronto Building,BL-Building Permission & Information,Preliminary Review,Inter-Divisional Recoveries,94864
Toronto Building,BL-Building Permission & Information,Preliminary Review,Contribution From Reserves/Reserve Funds,9314
Toronto Building,BL-Building Permission & Information,Preliminary Review,Transfers From Capital,4675
Toronto Building,BL-Building Permission & Information,Preliminary Review,Sundry and Other Revenues,3400
Toronto Employment & Social Services,SS-Employment Services,Develop and implement integrated employment strategies,Provincial Subsidies,1557336
Toronto Employment & Social Services,SS-Employment Services,Develop and implement integrated employment strategies,Contribution From Reserves/Reserve Funds,171493
Toronto Employment & Social Services,SS-Employment Services,Develop and implement integrated employment strategies,Inter-Divisional Recoveries,21341
Toronto Employment & Social Services,SS-Employment Services,Plan and manage employment and career services,Provincial Subsidies,48527414
Toronto Employment & Social Services,SS-Employment Services,Plan and manage employment and career services,Contribution From Reserves/Reserve Funds,1830270
Toronto Employment & Social Services,SS-Employment Services,Plan and manage employment and career services,Inter-Divisional Recoveries,131067
Toronto Employment & Social Services,SS-Employment Services,Plan and manage employment and career services,User Fees & Donations,24900
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration ,Provincial Subsidies,809476844
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration ,Sundry and Other Revenues,17800000
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration ,Contribution From Reserves/Reserve Funds,15365974
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration ,Inter-Divisional Recoveries,111976
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration ,User Fees & Donations,12000
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Eligibility determination and case management,Provincial Subsidies,18878514
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Eligibility determination and case management,Contribution From Reserves/Reserve Funds,2722953
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Eligibility determination and case management,Inter-Divisional Recoveries,289044
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Eligibility determination and case management,User Fees & Donations,45750
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Provide Individualized Employment Service Planning,Provincial Subsidies,52066847
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Provide Individualized Employment Service Planning,Contribution From Reserves/Reserve Funds,3259591
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Provide Individualized Employment Service Planning,Inter-Divisional Recoveries,321901
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Provide Individualized Employment Service Planning,User Fees & Donations,67350
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,Provincial Subsidies,680208
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,User Fees & Donations,326965
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,Inter-Divisional Recoveries,195901
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,Sundry and Other Revenues,15045
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,Transfers From Capital,900
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,Provincial Subsidies,512016
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,Sundry and Other Revenues,3397
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,Inter-Divisional Recoveries,629
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,Transfers From Capital,225
Toronto Paramedic Services,AM-Emergency Medical Care,AM-City Emergency & Major Event Mass Casualty Care,Provincial Subsidies,1120875
Toronto Paramedic Services,AM-Emergency Medical Care,AM-City Emergency & Major Event Mass Casualty Care,User Fees & Donations,629624
Toronto Paramedic Services,AM-Emergency Medical Care,AM-City Emergency & Major Event Mass Casualty Care,Sundry and Other Revenues,48974
Toronto Paramedic Services,AM-Emergency Medical Care,AM-City Emergency & Major Event Mass Casualty Care,Inter-Divisional Recoveries,25305
Toronto Paramedic Services,AM-Emergency Medical Care,AM-City Emergency & Major Event Mass Casualty Care,Transfers From Capital,675
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,Provincial Subsidies,3657716
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,Inter-Divisional Recoveries,4610
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,Sundry and Other Revenues,4455
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,User Fees & Donations,4012
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,Transfers From Capital,1650
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,Provincial Subsidies,97174295
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,Inter-Divisional Recoveries,549920
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,Sundry and Other Revenues,443914
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,User Fees & Donations,176544
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,Transfers From Capital,71550
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,,Provincial Subsidies,26529302
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,,Inter-Divisional Recoveries,113482
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,,Sundry and Other Revenues,2352
Toronto Parking Authority,Bike Share,,Sundry and Other Revenues,1540000
Toronto Parking Authority,Bike Share,,Contribution From Reserves/Reserve Funds,198100
Toronto Parking Authority,Off-Street Parking,,User Fees & Donations,97781824
Toronto Parking Authority,Off-Street Parking,,Sundry and Other Revenues,4478075
Toronto Parking Authority,On-Street Parking,,User Fees & Donations,52053272
Toronto Police Service,,,User Fees & Donations,46042500
Toronto Police Service,,,Provincial Subsidies,37802500
Toronto Police Service,,,Contribution From Reserves/Reserve Funds,21570000
Toronto Police Service,,,Inter-Divisional Recoveries,9901971
Toronto Police Service,,,Sundry and Other Revenues,8035429
Toronto Police Services Board,Toronto Police Service Governance & Oversight,,Contribution From Reserves/Reserve Funds,500000
Toronto Public Health,Chronic Diseases & Injuries,,Provincial Subsidies,30685818
Toronto Public Health,Chronic Diseases & Injuries,,Federal Subsidies,1155100
Toronto Public Health,Chronic Diseases & Injuries,,Transfers From Capital,317070
Toronto Public Health,Chronic Diseases & Injuries,,Contribution From Reserves/Reserve Funds,20040
Toronto Public Health,Chronic Diseases & Injuries,,Sundry and Other Revenues,1241
Toronto Public Health,Emergency Preparedness,,Provincial Subsidies,1728272
Toronto Public Health,Emergency Preparedness,,Transfers From Capital,31002
Toronto Public Health,Emergency Preparedness,,User Fees & Donations,9122
Toronto Public Health,Emergency Preparedness,,Contribution From Reserves/Reserve Funds,1750
Toronto Public Health,Emergency Preparedness,,Sundry and Other Revenues,192
Toronto Public Health,Environmental Health,,Provincial Subsidies,17508046
Toronto Public Health,Environmental Health,,User Fees & Donations,940317
Toronto Public Health,Environmental Health,,Federal Subsidies,88036
Toronto Public Health,Environmental Health,,Contribution From Reserves/Reserve Funds,15750
Toronto Public Health,Environmental Health,,Inter-Divisional Recoveries,12000
Toronto Public Health,Environmental Health,,Sundry and Other Revenues,553
Toronto Public Health,Family Health,,Provincial Subsidies,69352577
Toronto Public Health,Family Health,,Inter-Divisional Recoveries,1619932
Toronto Public Health,Family Health,,Sundry and Other Revenues,945092
Toronto Public Health,Family Health,,Transfers From Capital,449850
Toronto Public Health,Family Health,,Contribution From Reserves/Reserve Funds,13360
Toronto Public Health,Infectious Diseases,,Provincial Subsidies,48098036
Toronto Public Health,Infectious Diseases,,Sundry and Other Revenues,947382
Toronto Public Health,Infectious Diseases,,Transfers From Capital,630626
Toronto Public Health,Infectious Diseases,,User Fees & Donations,41485
Toronto Public Health,Infectious Diseases,,Federal Subsidies,3731
Toronto Public Health,Public Health Foundations,,Provincial Subsidies,9177601
Toronto Public Health,Public Health Foundations,,Transfers From Capital,342300
Toronto Public Health,Public Health Foundations,,Sundry and Other Revenues,114694
Toronto Public Health,Public Health Foundations,,Federal Subsidies,23480
Toronto Public Library,Library Collections Access & Borrowing,,Contribution From Reserves/Reserve Funds,3949993
Toronto Public Library,Library Collections Access & Borrowing,,Provincial Subsidies,1033120
Toronto Public Library,Library Collections Access & Borrowing,,User Fees & Donations,916015
Toronto Public Library,Library Collections Access & Borrowing,,Sundry and Other Revenues,392831
Toronto Public Library,Library Collections Access & Borrowing,,Transfers From Capital,170499
Toronto Public Library,Library In-Branch & Virtual Services,,Provincial Subsidies,4557047
Toronto Public Library,Library In-Branch & Virtual Services,,User Fees & Donations,4040268
Toronto Public Library,Library In-Branch & Virtual Services,,Contribution From Reserves/Reserve Funds,2141989
Toronto Public Library,Library In-Branch & Virtual Services,,Sundry and Other Revenues,1732749
Toronto Public Library,Library In-Branch & Virtual Services,,Transfers From Capital,752034
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement",,Provincial Subsidies,105233
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement",,User Fees & Donations,93417
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement",,Contribution From Reserves/Reserve Funds,52818
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement",,Sundry and Other Revenues,40020
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement",,Transfers From Capital,17382
Toronto Transit Commission - Conventional,Toronto Transit Commission - Conventional Service,,User Fees & Donations,1237621900
Toronto Transit Commission - Conventional,Toronto Transit Commission - Conventional Service,,Contribution From Reserves/Reserve Funds,14014500
Toronto Transit Commission - Conventional,Toronto Transit Commission - Conventional Service,,Transfers From Capital,5800000
Toronto Transit Commission - Wheel Trans,Toronto Transit Commission - Wheel-Trans Service,,User Fees & Donations,8491500
Toronto Water,TW-Stormwater Management,TW-Stormwater Collection,User Fees & Donations,2083135
Toronto Water,TW-Stormwater Management,TW-Stormwater Collection,Sundry and Other Revenues,796215
Toronto Water,TW-Stormwater Management,TW-Stormwater Collection,Transfers From Capital,193303
Toronto Water,TW-Stormwater Management,TW-Stormwater Treatment,Sundry and Other Revenues,616973
Toronto Water,TW-Stormwater Management,TW-Stormwater Treatment,User Fees & Donations,209311
Toronto Water,TW-Stormwater Management,TW-Stormwater Treatment,Contribution From Reserves/Reserve Funds,195000
Toronto Water,TW-Stormwater Management,TW-Stormwater Treatment,Transfers From Capital,106747
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Collection,Sundry and Other Revenues,160861132
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Collection,User Fees & Donations,10676468
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Collection,Transfers From Capital,718260
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Treatment,Sundry and Other Revenues,493767323
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Treatment,User Fees & Donations,17000188
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Treatment,Transfers From Capital,1518265
Toronto Water,TW-Water Treatment & Supply,TW-Water Distribution,Sundry and Other Revenues,244031321
Toronto Water,TW-Water Treatment & Supply,TW-Water Distribution,User Fees & Donations,19394030
Toronto Water,TW-Water Treatment & Supply,TW-Water Distribution,Transfers From Capital,608517
Toronto Water,TW-Water Treatment & Supply,Water Treatment,Sundry and Other Revenues,275356808
Toronto Water,TW-Water Treatment & Supply,Water Treatment,User Fees & Donations,3171137
Toronto Water,TW-Water Treatment & Supply,Water Treatment,Transfers From Capital,624040
Toronto Zoo,Zoo Conservation & Science,,Provincial Subsidies,1011500
Toronto Zoo,Zoo Conservation & Science,,User Fees & Donations,921173
Toronto Zoo,Zoo Conservation & Science,,Sundry and Other Revenues,74063
Toronto Zoo,Zoo Fundraising & Strategic Partnerships,,User Fees & Donations,2467100
Toronto Zoo,Zoo Fundraising & Strategic Partnerships,,Sundry and Other Revenues,450
Toronto Zoo,Zoo Visitor Services,,User Fees & Donations,34834011
Toronto Zoo,Zoo Visitor Services,,Sundry and Other Revenues,646687
Toronto Zoo,Zoo Visitor Services,,Contribution From Reserves/Reserve Funds,386000
Toronto Zoo,Zoo Visitor Services,,Transfers From Capital,171000
Transportation Services,TP-Permits & Applications,Construction Permits,Licences & Permits Revenue,6568515
Transportation Services,TP-Permits & Applications,Construction Permits,User Fees & Donations,5081868
Transportation Services,TP-Permits & Applications,Construction Permits,Contribution From Reserves/Reserve Funds,1623784
Transportation Services,TP-Permits & Applications,Construction Permits,Sundry and Other Revenues,58148
Transportation Services,TP-Permits & Applications,Construction Permits,Transfers From Capital,20329
Transportation Services,TP-Permits & Applications,Development Review Applications,User Fees & Donations,3030808
Transportation Services,TP-Permits & Applications,Development Review Applications,Contribution From Reserves/Reserve Funds,298539
Transportation Services,TP-Permits & Applications,Development Review Applications,Sundry and Other Revenues,54652
Transportation Services,TP-Permits & Applications,Development Review Applications,Transfers From Capital,13360
Transportation Services,TP-Permits & Applications,Parking Permits,User Fees & Donations,18151080
Transportation Services,TP-Permits & Applications,Parking Permits,Contribution From Reserves/Reserve Funds,891790
Transportation Services,TP-Permits & Applications,Parking Permits,Licences & Permits Revenue,234290
Transportation Services,TP-Permits & Applications,Parking Permits,Sundry and Other Revenues,58159
Transportation Services,TP-Permits & Applications,Parking Permits,Transfers From Capital,13360
Transportation Services,TP-Permits & Applications,Street Events,Licences & Permits Revenue,1428463
Transportation Services,TP-Permits & Applications,Street Events,Contribution From Reserves/Reserve Funds,1135788
Transportation Services,TP-Permits & Applications,Street Events,Sundry and Other Revenues,65148
Transportation Services,TP-Permits & Applications,Street Events,Transfers From Capital,15683
Transportation Services,TP-Permits & Applications,Street Events,User Fees & Donations,0
Transportation Services,TP-Road & Sidewalk Management,"Infrastructure Planning, Programming & Budgeting",Transfers From Capital,2512998
Transportation Services,TP-Road & Sidewalk Management,"Infrastructure Planning, Programming & Budgeting",Sundry and Other Revenues,694868
Transportation Services,TP-Road & Sidewalk Management,"Infrastructure Planning, Programming & Budgeting",User Fees & Donations,48691
Transportation Services,TP-Road & Sidewalk Management,Patrols & Investigations,Transfers From Capital,470002
Transportation Services,TP-Road & Sidewalk Management,Patrols & Investigations,Contribution From Reserves/Reserve Funds,298539
Transportation Services,TP-Road & Sidewalk Management,Patrols & Investigations,Sundry and Other Revenues,54652
Transportation Services,TP-Road & Sidewalk Management,Pedestrian & Cycling Infrastructure & Programs,Contribution From Reserves/Reserve Funds,1789538
Transportation Services,TP-Road & Sidewalk Management,Pedestrian & Cycling Infrastructure & Programs,Transfers From Capital,1741253
Transportation Services,TP-Road & Sidewalk Management,Pedestrian & Cycling Infrastructure & Programs,Sundry and Other Revenues,86265
Transportation Services,TP-Road & Sidewalk Management,Pedestrian & Cycling Infrastructure & Programs,User Fees & Donations,15727
Transportation Services,TP-Road & Sidewalk Management,Public Realm Improvements & Programs,Contribution From Reserves/Reserve Funds,8968438
Transportation Services,TP-Road & Sidewalk Management,Public Realm Improvements & Programs,Transfers From Capital,88035
Transportation Services,TP-Road & Sidewalk Management,Public Realm Improvements & Programs,Sundry and Other Revenues,15000
Transportation Services,TP-Road & Sidewalk Management,Road & Sidewalk Repairs & Cleaning,Sundry and Other Revenues,62407623
Transportation Services,TP-Road & Sidewalk Management,Road & Sidewalk Repairs & Cleaning,User Fees & Donations,24479442
Transportation Services,TP-Road & Sidewalk Management,Road & Sidewalk Repairs & Cleaning,Transfers From Capital,16002201
Transportation Services,TP-Road & Sidewalk Management,Road & Sidewalk Repairs & Cleaning,Inter-Divisional Recoveries,12394366
Transportation Services,TP-Road & Sidewalk Management,Road & Sidewalk Repairs & Cleaning,Contribution From Reserves/Reserve Funds,4897078
Transportation Services,TP-Road & Sidewalk Management,Road & Sidewalk Repairs & Cleaning,Licences & Permits Revenue,200000
Transportation Services,TP-Road & Sidewalk Management,Winter Operations,Contribution From Reserves/Reserve Funds,597078
Transportation Services,TP-Road & Sidewalk Management,Winter Operations,Sundry and Other Revenues,533545
Transportation Services,TP-Road & Sidewalk Management,Winter Operations,Transfers From Capital,172167
Transportation Services,TP-Road & Sidewalk Management,Winter Operations,Inter-Divisional Recoveries,160000
Transportation Services,TP-Road & Sidewalk Management,Winter Operations,User Fees & Donations,76215
Transportation Services,TP-Transportation Safety & Operations,Traffic Signal Installation & Maintenance,Sundry and Other Revenues,2888720
Transportation Services,TP-Transportation Safety & Operations,Traffic Signal Installation & Maintenance,Transfers From Capital,1270233
Transportation Services,TP-Transportation Safety & Operations,Traffic Signs & Pavement Markings,Sundry and Other Revenues,579568
Transportation Services,TP-Transportation Safety & Operations,Traffic Signs & Pavement Markings,Transfers From Capital,6454
Transportation Services,TP-Transportation Safety & Operations,Transportation Information & Monitoring Systems,Transfers From Capital,1382938
Transportation Services,TP-Transportation Safety & Operations,Transportation Information & Monitoring Systems,Sundry and Other Revenues,734845
Transportation Services,TP-Transportation Safety & Operations,Transportation Information & Monitoring Systems,User Fees & Donations,82400
Transportation Services,TP-Transportation Safety & Operations,Transportation Studies & Investigations,Transfers From Capital,2011098
Transportation Services,TP-Transportation Safety & Operations,Transportation Studies & Investigations,Sundry and Other Revenues,1152902
Transportation Services,TP-Transportation Safety & Operations,Transportation Studies & Investigations,Contribution From Reserves/Reserve Funds,298539
Transportation Services,TP-Transportation Safety & Operations,Transportation Studies & Investigations,User Fees & Donations,86254
Yonge-Dundas Square,Yd-Public Square And Event Venue,,User Fees & Donations,1070000
Yonge-Dundas Square,Yd-Public Square And Event Venue,,Sundry and Other Revenues,560140
Yonge-Dundas Square,Yd-Public Square And Event Venue,,Licences & Permits Revenue,345000
